symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
VSP,8425494,STOCK,DELISTED,Viet Hai Shipping and Real Properties Corporation,Vinashin petroleum transport,ShinPetrol,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải
VSN,8425663,STOCK,UPCOM,VISSAN Joint Stock Company,VISSAN,VN Kỹ Nghệ Súc Sản (VISSAN),Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản
VSM,8425686,STOCK,HNX,Central Container Joint Stock Company,Central Container,Container Miền Trung,Công ty Cổ phần Container Miền Trung
VSI,8424775,STOCK,HSX,Water Supply Sewerage Construction and Investment Joint Stock Company,Waseco,Đầu tư và Xây dựng Cấp thoát nước,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước
VSH,8424849,STOCK,HSX,Vinh Son - Song Hinh Hydropower Joint Stock Company,Vinh Son - Song Hinh Hydropower,Thủy điện Vĩnh Sơn - Sông Hinh,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh
VSG,8425070,STOCK,UPCOM,Southern Vietnam Container Shipping Joint Stock Company,Southern Container Shipping,Container Phía Nam,Công ty Cổ phần Container Phía Nam
VSF,8425762,STOCK,UPCOM,Vietnam Southern Food Corporation - Joint Stock Company,Vinafood 2,Vinafood 2,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần
VSE,8425269,STOCK,UPCOM,Vietnam Expressway Services Joint Stock Company,Vietnam Expressway Services,DV Đường cao tốc Việt Nam,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam
VSC,8424998,STOCK,HSX,Viet Nam Container Shipping Joint Stock Company,Vietnam Container Shipping,VICONSHIP,Công ty Cổ phần Container Việt Nam
VSA,8425912,STOCK,HNX,Vietnam Ocean Shipping Agency Corporation,Vietnam Ocean Shipping Agency,Đại lý Hàng hải VN,Công ty Cổ phần Đại lý Hàng hải Việt Nam
VRG,8425185,STOCK,UPCOM,Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company,VINARUCO,PT Đô thị và KCN Cao su VN,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam
VRE,8424741,STOCK,HSX,Vincom Retail Joint Stock Company,Vincom Retail,Vincom Retail,Công ty Cổ phần Vincom Retail
VRC,8425028,STOCK,HSX,VRC Real Estate and Investment Joint Stock Company,VRC Real Estate and Investment,Bất động sản và Đầu tư VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC
VQC,8425718,STOCK,UPCOM,VINACOMIN QUACONTROL Joint-stock Company,VINACOMIN QUACONTROL,Giám định Vinaconmin,Công ty Cổ phần Giám định Vinaconmin
VPW,8425723,STOCK,UPCOM,Vinhphuc No1 Water Supply and Drainage Joint Stock Company,Vinhphuc No1 Water Supply and Drainage,Cấp thoát nước số 1 Vĩnh Phúc,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc
VPS,8424929,STOCK,HSX,Vietnam Pesticide Joint Stock Company,Vietnam Pesticide,Thuốc sát trùng Việt Nam,Công ty Cổ phần Thuốc sát trùng Việt Nam
VPR,8425695,STOCK,UPCOM,VINAPRINT Corporation,VINAPRINT,VINAPRINT,Công ty Cổ phần VINAPRINT
VPI,8424920,STOCK,HSX,Van Phu - Invest Investment Joint Stock Company,Van Phu - Invest,Đầu tư Văn Phú - Invest,Công ty Cổ phần Đầu tư Văn Phú - Invest
VPH,8424707,STOCK,HSX,Van Phat Hung Corporation,Van Phat Hung,Vạn Phát Hưng,Công ty Cổ phần Vạn Phát Hưng
VPG,8424782,STOCK,HSX,Viet Phat Import Export Trading Investment Joint Stock Company,Viet Phat Import Export Trading Investment,Đầu tư TMại XNK Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát
VPD,8424559,STOCK,HSX,Vietnam Power Development Joint Stock Company,EVN Development,Phát triển Điện lực Việt Nam,Công ty Cổ phần Phát triển Điện lực Việt Nam
VPC,9679675,STOCK,UPCOM,Vietnam Power Investment and Development Joint Stock Company,V- Power,V- Power,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam
VPB,8424685,STOCK,HSX,Vietnam Prosperity Joint Stock Commercial Bank,VPBank,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng
VPA,8425076,STOCK,UPCOM,VP Petrochemical Transport Joint Stock Company,VP Petrochemical Transport,Vận tải Hóa dầu VP,Công ty Cổ phần Vận tải Hóa dầu VP
VOS,8424660,STOCK,HSX,Vietnam Ocean Shipping Joint Stock Company,Vietnam Ocean Shipping,Vận tải Biển Việt Nam,Công ty Cổ phần Vận tải Biển Việt Nam
VOC,8425997,STOCK,UPCOM,Vietnam Vegetable Oils Industry Corporation,Vocarimex,Dầu thực vật Việt Nam,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - Công ty Cổ phần
VNZ,11810379,STOCK,UPCOM,VNG Corporation,VNG CORP,CTCP VNG,Công ty Cổ phần VNG
VNY,8425059,STOCK,UPCOM,Vietnam Vererinary Products Joint Stock Company,Vietnam Vererinary Products,Thuốc thú y Trung ương I,Công ty Cổ phần Thuốc thú y Trung ương I
VNX,8426051,STOCK,UPCOM,Vietnam National Trade Fair And Advertising Company,VINEXAD,QC và Hội chợ Thương mại,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad
