symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
THW,8425057,STOCK,UPCOM,Tan Hoa Water Supply Joint Stock Company,Tan Hoa Water Supply,Cấp nước Tân Hòa,Công ty Cổ phần Cấp nước Tân Hòa
THU,8425112,STOCK,UPCOM,Thanh Hoa Urban Construction and Environment Joint Stock Company,Thanh Hoa Urban Construction and Environment,Môi trường và CTĐT Thanh Hóa,Công ty Cổ phần Môi trường và Công trình đô thị Thanh Hóa
THT,8425937,STOCK,HNX,Vinacomin - Ha Tu Coal Joint Stock Company,VINACOMIN - Ha Tu Coal,Than Hà Tu,Công ty Cổ phần Than Hà Tu - Vinacomin
THS,8425754,STOCK,HNX,Song Da Thanh Hoa Joint Stock Company,Song Da Thanh Hoa,Thanh Hoa Sông Đà,Công ty Cổ phần Thanh Hoa Sông Đà
THP,8425902,STOCK,UPCOM,Thuan Phuoc Seafoods and Trading Corporation,Thuan Phuoc corporation,Thủy sản và TMại Thuận Phước,Công ty Cổ phần Thủy sản và Thương mại Thuận Phước
THN,8425851,STOCK,UPCOM,Thanh Hoa Water Supply Joint Stock Company,Thanh Hoa Water Supply,Cấp nước Thanh Hóa,Công ty Cổ phần Cấp nước Thanh Hóa
THM,12858035,STOCK,UPCOM,Tu Hai Ha Nam Joint Stock Company,Tu Hai Ha Nam,Tứ Hải Hà Nam,Công ty Cổ phần Tứ Hải Hà Nam
THI,8424556,STOCK,DELISTED,Electrical Equipment Joint Stock Company,Electrical Equipment,Thiết bị điện,Công ty Cổ phần Thiết bị điện
THG,8424587,STOCK,HSX,Tien Giang Investment and Construction Joint Stock Company,Tien Giang Construction,XD Tiền Giang,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang
THD,8425294,STOCK,HNX,Thaiholdings Joint Stock Company,Thaiholdings Company,Công ty Thaiholdings,Công ty Cổ phần Thaiholdings
THB,8425750,STOCK,HNX,Ha Noi - Thanh Hoa Beer Joint Stock Company,Ha Noi - Thanh Hoa Beer,Bia Hà Nội - Thanh Hóa,Công ty Cổ phần Bia Hà Nội - Thanh Hóa
TH1,9679668,STOCK,UPCOM,The Vietnam National General Export - Import Joint Stock Company No.1,GENERALEXIM,XNK Tổng hợp 1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam
TGP,8425386,STOCK,UPCOM,Truong Phu Joint Stock Company,Truong Phu Cable,Cáp Trường Phú,Công ty Cổ phần Trường Phú
TGG,8424714,STOCK,UPCOM,The Golden Group Joint Stock Company,The Golden Group,The Golden Group,Công ty Cổ phần The Golden Group
TFC,8425300,STOCK,HNX,TRANG CORPORATION,TRANG CORP,CTCP Trang,Công ty Cổ phần Trang
TET,8425819,STOCK,HNX,Northern Textiles And Garments Joint Stock Company (TEXTACO),Northern Textiles And Garments,May mặc Miền Bắc,Công ty Cổ phần Vải sợi May mặc Miền Bắc
TEL,8425147,STOCK,UPCOM,Telecommunication Project Construction Development Joint Stock Company,TELCOM,Phát triển Công trình Viễn thông,Công ty Cổ phần Phát triển Công trình Viễn thông
TEG,8424935,STOCK,HSX,Truong Thanh Energy and Real Estate Joint Stock Company,TECGROUP,TECGROUP,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành
TED,11093346,STOCK,UPCOM,Transport Engineering Design InCorporated,Transport Engineering Design,Thiết kế GTVT,Tổng Công ty Tư vấn Thiết kế Giao thông Vận tải - CTCP
TEC,8425148,STOCK,DELISTED,Traenco Joint Stock Company,Traenco,Traenco,Công ty Cổ phần Traenco
TDW,8425027,STOCK,HSX,Thu Duc Water Supply Joint Stock Company,Thu Duc Water Supply,Cấp nước Thủ Đức,Công ty Cổ phần Cấp nước Thủ Đức
TDT,8425974,STOCK,HNX,TDT Investment And Development Joint Stock Company,TDT Investment And Development,Đầu tư và Phát triển TDT,Công ty Cổ phần Đầu tư và Phát triển TDT
TDS,8426007,STOCK,UPCOM,VNSTEEL - Thu Duc Steel Joint Stock Company,Thu Duc Steel,Thép Thủ Đức,Công ty Cổ phần Thép Thủ Đức - VNSTEEL
TDP,8424586,STOCK,HSX,Thuan Duc Joint Stock Company,Thuan Duc Company,Công ty Thuận Đức,Công ty Cổ phần Thuận Đức
TDN,8425938,STOCK,DELISTED,Vinacomin - Deo Nai Coal Joint Stock Company,Vinacomin - Deo Nai coal,Than Đèo Nai,Công ty Cổ phần Than Đèo Nai - Vinacomin
TDM,8424626,STOCK,HSX,Thu Dau Mot Water Joint Stock Company,Thu Dau Mot Water,Nước Thủ Dầu Một,Công ty Cổ phần Nước Thủ Dầu Một
TDI,11789113,STOCK,DELISTED,TDIGroup Joint Stock Company,TDIGroup,Tập đoàn TDI,Công ty Cổ phần Tập đoàn TDI 
TDH,8424983,STOCK,HSX,Thu Duc Housing Development Corporation,Thu Duc House,Thủ Đức House,Công ty Cổ phần Phát triển Nhà Thủ Đức
TDG,8424803,STOCK,HSX,TDG Global Investment Joint Stock Company,TDG Global Investment,Đầu tư TDG Global,Công ty Cổ phần Đầu tư TDG Global
TDF,8425066,STOCK,UPCOM,Trung Do Joint Stock Company,Trung Do JSC,Xây dựng Trung Đô,Công ty Cổ phần Trung Đô
TDC,8424853,STOCK,HSX,Binhduong Trade And Development Joint Stock Company,Becamex TDC,Becamex TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương
TDB,8425335,STOCK,UPCOM,Dinh Binh Hydropower Joint Stock Company,Dinh Binh Hydropower,Thủy điện Định Bình,Công ty Cổ phần Thủy điện Định Bình
TCW,8426045,STOCK,UPCOM,Tan Cang Warehousing Joint Stock Company,Tan Cang Warehousing,Kho Vận Tân Cảng,Công ty Cổ phần Kho Vận Tân Cảng
TCT,8424859,STOCK,HSX,Tay Ninh Cable Car Tour Company,Tay Ninh Cable Car Tour Co.,Cáp treo Tây Ninh,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh
TCR,8424551,STOCK,HSX,Taicera Enterprise Company,Taicera ceramic,Gốm sứ TAICERA,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA
TCO,8425021,STOCK,HSX,TCO Holdings Joint Stock Company,TCO Holdings,TCO Holdings,Công ty Cổ phần TCO Holdings
TCM,8424476,STOCK,HSX,Thanh Cong Textile Garment Investment Trading Joint Stock Company,Thanh Cong Textile Garment,Dệt may Thành Công,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công
TCL,8424689,STOCK,HSX,Tan Cang Logistics and Stevedoring Join Stock Company,Tan Cang Logistics,Tan Cang Logistics,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
TCK,9679667,STOCK,UPCOM,Construction Machinery Corporation - JSC,COMA,COMA,Tổng Công ty Cơ khí Xây dựng - CTCP
TCJ,9679666,STOCK,UPCOM,To Chau Joint Stock Company,To Chau,Tô Châu,Công ty Cổ phần Tô Châu
TCI,8426163,STOCK,HSX,ThanhCong Securities Company,Thanh Cong Securities,Chứng khoán Thành Công,Công ty Cổ phần Chứng khoán Thành Công
TCH,8424597,STOCK,HSX,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services,ĐT DV Tài chính Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
TCD,8424965,STOCK,HSX,Tracodi Construction Holdings Joint Stock Company,Tracodi Construction Holdings,Tập đoàn Xây dựng Tracodi,Công ty cổ phần Tập đoàn Xây dựng Tracodi
TCB,8424683,STOCK,HSX,Vietnam Technological And Commercial Joint Stock Bank,Techcombank,Techcombank,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam
TC6,8425954,STOCK,DELISTED,Vinacomin - Coc Sau Coal Joint Stock Company,Vinacomin - Coc Sau Coal,Than Cọc Sáu,Công ty Cổ phần Than Cọc Sáu - Vinacomin
TBX,8425818,STOCK,HNX,Thai Binh Cement Joint Stock Company,Thai Binh Cement,Xi măng Thái Bình,Công ty Cổ phần Xi măng Thái Bình
TBW,13205426,STOCK,UPCOM,Thai Binh Clean Water Joint Stock Company,Thai Binh Clean Water,Nước sạch Thái Bình,Công ty cổ phần Nước sạch Thái Bình
TBT,8425210,STOCK,UPCOM,Bentre Transportation Works Contruction Joint Stock Company,Bentre Transportation Works Contruction,XD Công trình GT Bến Tre,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre
TBR,11266844,STOCK,UPCOM,Tan Binh Real Estate Joint Stock Company,Tan Binh Real Estate,Địa ốc Tân Bình,Công ty Cổ phần Địa ốc Tân Bình
TBH,9679665,STOCK,UPCOM,General Department Store Joint Stock Company,General Department Store,Tổng Bách Hóa,Công ty Cổ phần Tổng Bách Hóa
TBD,8425175,STOCK,UPCOM,Dong Anh Electrical Equipment Corporation,Dong Anh Electrical Equipment,Thiết bị điện Đông Anh,Tổng công ty Thiết bị điện Đông Anh - Công ty Cổ phần
TBC,8424692,STOCK,HSX,Thac Ba Hydropower Joint Stock Company,Thac Ba Hydropower,Thủy điện Thác Bà,Công ty Cổ phần Thủy điện Thác Bà
TB8,8426209,STOCK,UPCOM,VVMI - Manufacturing and Materials Equipment Trading Joint Stock Company,VVMI - Manufacturing and Materials Equipment,SX và KD Vật tư Thiết bị - VVMI,Công ty Cổ phần Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI
TAW,8425672,STOCK,UPCOM,Trung An Water Supply Joint Stock Company,Trung An Water Supply,Cấp nước Trung An,Công ty Cổ phần Cấp nước Trung An
TAR,8425377,STOCK,UPCOM,Trung An Hi-tech Farming Joint Stock Company,Trung An Hi-tech Farming,Nông nghiệp CN cao Trung An,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An
TAP,8425578,STOCK,DELISTED,Tan An Public Services Joint Stock Company,Tan An Public Services,Đô thị Tân An,Công ty Cổ phần Đô thị Tân An
TAN,8425764,STOCK,UPCOM,Thuan An Coffee Joint Stock Company,Thuan An Coffee,Cà phê Thuận An,Công ty Cổ phần Cà phê Thuận An
TAL,13205195,STOCK,UPCOM,Taseco Land Investment Joint Stock Company,Taseco Land,Đầu Tư Bất Động Sản Taseco,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco
TAG,8425250,STOCK,DELISTED,Tran Anh Digital World Joint Stock Company,Tran Anh Company,Trần Anh Company,Công ty Cổ phần Thế giới số Trần Anh
TAC,8424725,STOCK,DELISTED,Tuong An Vegetable Oil Joint Stock Company,Tuong An Vegetable Oil,Dầu Tường An,Công ty Cổ phần Dầu Thực vật Tường An
TAB,14204447,STOCK,UPCOM,Freco Viet Nam Corporation,Freco Viet Nam,Freco Việt Nam,Công ty Cổ phần Freco Việt Nam
TA9,8426098,STOCK,HNX,Thanh An 96 Construction and Installation Joint Stock Company,Thanh An No 96,Xây lắp Thành An 96,Công ty Cổ phần Xây lắp Thành An 96
TA6,8426015,STOCK,UPCOM,"Thanh An 665 Investment, Installation And Construction Joint Stock Company","INCO 665.,JSC",Đầu tư và Xây lắp Thành An 665,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665
TA3,8426038,STOCK,DELISTED,386 Thanh An Construction and Investment Joint Stock Company,386 Thanh An Construction and Investment,ĐT và Xây lắp Thành An 386,Công ty cổ phần Đầu tư và Xây lắp Thành An 386
T12,8425060,STOCK,DELISTED,,,,
SZL,8424733,STOCK,HSX,Sonadezi Long Thanh Shareholding Company,Sonadezi Long Thanh,Sonadezi Long Thành,Công ty Cổ phần Sonadezi Long Thành
SZG,8426113,STOCK,UPCOM,Sonadezi Giang Dien Shareholding Company,Sonadezi Giang Dien,Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền
SZE,8425279,STOCK,UPCOM,Sonadezi Environment Joint Stock Company,Sonadezi Environment,Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi
SZC,8424997,STOCK,HSX,Sonadezi Chau Duc Shareholding Company,Sonadezi Chau Duc,Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức
SZB,8426139,STOCK,HNX,Sonadezi Long Binh Share Holding Company,Sonadezi Long Binh,Sonadezi Long Bình,Công ty Cổ phần Sonadezi Long Bình
SWC,8426210,STOCK,UPCOM,Southern Waterborne Transport Corporation,Southern Waterborne Transport,Đường Sông Miền Nam,Tổng Công ty Cổ phần Đường Sông Miền Nam
SVT,8424624,STOCK,HSX,Sai Gon Vien Dong Technology Joint Stock Company,Sai Gon Vien Dong Technology,Công nghệ SG Viễn Đông,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông
SVN,8425986,STOCK,HNX,Vexilla Viet Nam Group Joint Stock Company,Vexilla Viet Nam Group,Tập đoàn Vexilla Việt Nam,Công ty Cổ phần Tập đoàn Vexilla Việt Nam
SVL,8425825,STOCK,DELISTED,,,,
SVI,8424688,STOCK,HSX,Bien Hoa Packaging Joint Stock Company,Bien Hoa Packaging,Bao bì Biên Hòa,Công ty Cổ phần Bao bì Biên Hòa
SVH,8426168,STOCK,UPCOM,Song Vang HydroPower Joint Stock Company,Song Vang HydroPower,Thủy điện Sông Vàng,Công ty Cổ phần Thủy điện Sông Vàng
SVG,8425340,STOCK,UPCOM,Industrial Gas and Welding Electrode Joint Stock Company,Industrial Gas and Welding Electrode,Hơi kỹ nghệ Que hàn,Công ty Cổ phần Hơi kỹ nghệ Que hàn
SVD,8424822,STOCK,HSX,Vu Dang Investment & Trading Joint Stock Company,Vu Dang Investment & Trading,Đầu tư & Thương mại Vũ Đăng,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng
SVC,8424581,STOCK,HSX,SaiGon General Service Corporation,SAVICO,SAVICO,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn
STW,8425822,STOCK,UPCOM,Soc Trang Water Supply Joint Stock Company,Soc Trang Water Supply,Cấp nước Sóc Trăng,Công ty Cổ phần Cấp nước Sóc Trăng
STT,8425107,STOCK,UPCOM,Saigon Tourist Transport Corporation,Saigon Tourist Transport,Vận chuyển Sài Gòn Tourist,Công ty Cổ phần Vận chuyển Sài Gòn Tourist
STS,8425189,STOCK,UPCOM,Saigon Transport Agency Joint Stock Company,Saigon Transport Agency,Dịch vụ vận tải Sài Gòn,Công ty Cổ phần Dịch vụ vận tải Sài Gòn
STP,8425978,STOCK,HNX,Song Da Industry Trade Joint Stock Company,Song Da Industry and Trade,CN Thương Mại Sông Đà,Công ty Cổ phần Công nghiệp Thương mại Sông Đà
STL,8425198,STOCK,UPCOM,SongDa - ThangLong Joint Stock Company,Song Da - Thang Long,Sông Đà - Thăng Long,Công ty Cổ phần Sông Đà - Thăng Long
STK,8424634,STOCK,HSX,Century Synthetic Fiber Corporation,Century Synthetic Fiber,Sợi Thế Kỷ,Công ty Cổ phần Sợi Thế Kỷ
STH,8426052,STOCK,UPCOM,Thai Nguyen Book Distribution Joint Stock Company,Thai Nguyen Book Distribution,Phát hành sách Thái Nguyên,Công ty Cổ phần Phát hành sách Thái Nguyên
STG,8424546,STOCK,HSX,South Logistics Joint Stock Company,South Logistics,Kho Vận Miền Nam,Công ty Cổ phần Kho Vận Miền Nam
STC,8425933,STOCK,HNX,Book And Educational Equipment Joint Stock Company of Ho Chi Minh City,Ho Chi Minh City Book and Edu Equipments,Sách và TB Trường học TP HCM,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh
STB,8424584,STOCK,HSX,SaiGon Thuong Tin Commercial Joint Stock Bank,Sacombank,Sacombank,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
ST8,8424511,STOCK,HSX,ST8 Holdings Joint Stock Company,ST8 Holdings,Tập đoàn ST8,Công ty Cổ phần Tập đoàn ST8
SSU,8425444,STOCK,DELISTED,Soc Son Urban Environment Joint Stock Company,Soc Son Urban Environment,Môi trường Đô thị Sóc Sơn,Công ty Cổ phần Môi trường Đô thị Sóc Sơn
SSN,8426174,STOCK,UPCOM,Saigon Sea Products Import Export Joint Stock Corporation,Seaprodex Saigon,Thủy sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn
SSM,8425370,STOCK,HNX,Steel Structure Manufacture Joint Stock Company,VNECO Steel Structure,Kết cấu Thép VNECO,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM
SSI,8424795,STOCK,HSX,SSI Securities Corporation,SSI Securities,Chứng khoán SSI,Công ty Cổ phần Chứng khoán SSI
SSH,8425045,STOCK,UPCOM,Sunshine Homes Development Joint Stock Company,Sunshine Homes Development,Phát triển Sunshine Homes,Công ty Cổ phần Phát triển Sunshine Homes
SSG,8425604,STOCK,UPCOM,Seagull Shipping Company,Seagull Shipping,Vận tải Biển Hải Âu,Công ty Cổ phần Vận tải Biển Hải Âu
SSF,9679664,STOCK,UPCOM,G Sai Gon Education Joint Stock Company,G Sai Gon Education,Giáo dục G Sài Gòn,Công ty Cổ phần Giáo dục G Sài Gòn
SSC,8424645,STOCK,HSX,Southern Seed Joint-stock Company,Southern Seed JSC,Giống cây trồng Miền Nam,Công ty Cổ phần Giống cây trồng Miền Nam
SSB,8424940,STOCK,HSX,Southeast Asia Commercial Joint Stock Bank,SeABank,SeABank,Ngân hàng Thương mại Cổ phần Đông Nam Á
SRT,8426167,STOCK,DELISTED,Saigon Railway Transport Joint Stock Company,Saigon Railway Transport,Vận tải Đường sắt Sài Gòn,Công ty Cổ phần Vận tải Đường sắt Sài Gòn
SRF,8424777,STOCK,HSX,Searefico Corporation,SEAREFICO,SEAREFICO,Công ty Cổ phần Searefico
SRC,8424654,STOCK,HSX,Sao Vang Rubber Joint Stock Company,Sao Vang Rubber,Cao su Sao Vàng,Công ty Cổ phần Cao su Sao Vàng
SRB,8425947,STOCK,UPCOM,Sara Joint Stock Company,SARA,SARA,Công ty Cổ phần Tập đoàn Sara
SRA,8426062,STOCK,HNX,Sara Vietnam Joint Stock Company,Sara Vietnam,SARA Việt Nam,Công ty Cổ phần SARA Việt Nam
SQC,8425746,STOCK,UPCOM,Sai Gon - Quy Nhon Mining Corporation,Sai Gon - Quy Nhon Mining,Khoáng sản SG-Quy Nhơn,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn
SPV,8425595,STOCK,UPCOM,Special Aquatic Products Joint Stock Company,Seaspimex Vietnam,Thủy đặc sản,Công ty Cổ phần Thủy Đặc Sản
SPP,8425069,STOCK,DELISTED,Saigon Plastic Packaging Joint Stock Company,Saigon Plastic Packaging,Bao bì Nhựa SG,Công ty Cổ phần Bao bì Nhựa Sài Gòn
SPM,8424565,STOCK,HSX,S.P.M Corporation,S.P.M CORP,S.P.M CORP,Công ty Cổ phần S.P.M
SPI,8425401,STOCK,HNX,Spiral Galaxy Joint Stock Company,Stone Spilit,Spiral Galaxy,Công ty Cổ phần Spiral Galaxy
SPH,8425516,STOCK,UPCOM,Ha Noi Seaproducts Import Export Joint Stock Corporation,SEAPRODEX HANOI,XNK Thủy sản Hà Nội,Công ty Cổ phần Xuất Nhập khẩu Thủy sản Hà Nội
SPD,8425469,STOCK,UPCOM,Danang Seaproducts Import - Export Corporation,Danang Seaproducts,Thủy sản Miền Trung,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung
SPC,8426107,STOCK,HNX,Saigon Plant Protection Joint Stock Company,Saigon Plant Protection,BV Thực vật Sài Gòn,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn
SPB,8425142,STOCK,UPCOM,Phu Bai Spinning Mill Joint Stock Company,Phu Bai Spinning,Sợi Phú Bài,Công ty Cổ phần Sợi Phú Bài
SPA,8426044,STOCK,DELISTED,Saigon Packaging Joint Stock Company,Saigon Packaging,Bao bì Sài Gòn,Công ty Cổ phần Bao bì Sài Gòn
SP2,8425470,STOCK,UPCOM,Su Pan 2 Hydropower Joint Stock Company,Su Pan 2 Hydropower Joint Stock Company,Thủy điện Sử Pán 2,Công ty Cổ phần Thủy điện Sử Pán 2
SON,8425743,STOCK,DELISTED,,,,
SNZ,8426166,STOCK,UPCOM,Sonadezi Corporation,SONADEZI,SONADEZI,Tổng Công ty Cổ phần Phát triển Khu Công nghiệp
SNC,8426095,STOCK,UPCOM,Nam Can Seaproducts Import Export Joint Stock Company,Nam Can Seaproducts,Thủy sản Năm Căn,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn
SMT,8426012,STOCK,HNX,SAMETEL Corporation,SAMETEL,SAMETEL,Công ty Cổ phần SAMETEL
SMN,8426123,STOCK,HNX,South Books and Educational Equipment Joint Stock Company,SOBEE JSC,Sách và thiết bị GD miền Nam,Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam
SMC,8424932,STOCK,HSX,SMC Trading Investment Joint Stock Company,SMC Investment Trading,Đầu tư Thương mại SMC,Công ty Cổ phần Đầu tư Thương mại SMC
SMB,8425031,STOCK,HSX,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer,Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung
SMA,8424663,STOCK,HSX,Saigon Machinery Spare Parts Joint Stock Company,Saigon Machinco,Thiết bị Phụ tùng Sài Gòn,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn
SLS,8425775,STOCK,HNX,Son La Sugar Joint Stock Company,Son La Sugar,Mía đường Sơn La,Công ty Cổ phần Mía đường Sơn La
SKV,8425885,STOCK,UPCOM,Khanh Hoa Salanges Nest Soft Drink Joint Stock Company,Khanh Hoa Salanges Nest Soft Drink,NGK Yến sào Khánh Hòa,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa
SKN,8425339,STOCK,UPCOM,Sanna Khanh Hoa Beverage Joint Stock Company,Sanna Khanh Hoa Beverage,NGK Sanna Khánh Hòa,Công ty Cổ phần Nước giải khát Sanna Khánh Hòa
SKH,8426023,STOCK,UPCOM,Khanh Hoa Sanest Soft Drink Joint Stock Company,Khanh Hoa Sanest Soft Drink,NGK Sanest Khánh Hòa,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa
SKG,8424703,STOCK,HSX,Superdong - Kien Giang Fast Ferry Joint Stock Company,Superdong - Kien Giang Fast Ferry,Tàu Cao tốc Superdong,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang
SJS,8424918,STOCK,HSX,SJ Group Joint Stock Company,SJ Group,SJ Group,Công ty Cổ phần SJ Group
SJM,8425054,STOCK,UPCOM,Song Da 19 Joint Stock Company,Song Da 19,Sông Đà 19,Công ty Cổ phần Sông Đà 19
SJG,8425202,STOCK,UPCOM,Song Da Corporation,Song Da Corp.,Tổng Công ty Sông Đà,Tổng Công ty Sông Đà
SJF,8424764,STOCK,UPCOM,Sunstar Investment Joint Stock Company,Sunstar Investment,Đầu tư Sao Thái Dương,Công ty Cổ phần Đầu tư Sao Thái Dương
SJE,8425422,STOCK,HNX,Song Da No11 Joint Stock Company,Song Da 11,Sông Đà 11,Công ty Cổ phần Sông Đà 11
SJD,8424982,STOCK,HSX,Can Don Hydropower Joint Stock Company,Can Don Hydro Power,Thủy điện Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn
SJC,8425208,STOCK,UPCOM,Song Da 1.01 Joint Stock Company,Song Da 1.01,Sông Đà 1.01,Công ty Cổ phần Sông Đà 1.01
SJ1,8426000,STOCK,HNX,Hung Hau Agricultural Corporation,Hung Hau Agricultural,Nông nghiệp Hùng Hậu,Công ty Cổ phần Nông nghiệp Hùng Hậu
SIV,8425360,STOCK,UPCOM,SIVICO Joint Stock Company,"SJS.,CO",SIVICO,Công ty Cổ phần SIVICO
SIP,8425918,STOCK,HSX,Saigon VRG Investment Corporation,SVGR CORP,Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG
SII,8424873,STOCK,UPCOM,Saigon Water Infrastructure Corporation,Saigon Water,Hạ tầng Nước Sài Gòn,Công ty Cổ phần Hạ tầng Nước Sài Gòn
SIG,8425895,STOCK,UPCOM,Song Da Investment and Trading Joint Stock Company,Song Da Investment and Trading,Đầu tư và Thương mại Sông Đà,Công ty Cổ phần Đầu tư và Thương mại Sông Đà
SID,8425398,STOCK,UPCOM,Saigon Co.op Investment Development Joint Stock Company,Saigon Co.op Investment,Đầu tư PT Sài Gòn Co.op,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op
SIC,8425212,STOCK,DELISTED,ANI Joint Stock Company,ANI Joint Stock Company,Công ty Cổ phần ANI,Công ty Cổ phần ANI
SHX,8424975,STOCK,DELISTED,Sai gon Train Joint Stock Company,Sai gon Train,Sài Gòn Hỏa xa,Công ty Cổ phần Sài Gòn Hỏa xa
SHS,8425425,STOCK,HNX,Sai Gon - Ha Noi Securities Joint Stock Company,Sai Gon - Ha Noi Securities,Chứng khoán SG - HN,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội
SHP,8424623,STOCK,HSX,Southern Hydropower Joint Stock Company,Southern Hydropower,Thủy điện Miền Nam,Công ty Cổ phần Thủy điện Miền Nam
SHN,8425432,STOCK,HNX,Hanoi Investment General Corporation,Hanoi Investment General,Đầu tư Tổng hợp Hà Nội,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội
SHI,8424721,STOCK,HSX,Sonha International Corporation,Sonha International Corporation,Quốc tế Sơn Hà,Công ty Cổ phần Quốc tế Sơn Hà
SHG,8425036,STOCK,UPCOM,SongHong Joint Stock Corporation,SongHong Corp,Tổng Công ty Sông Hồng,Tổng Công ty Cổ phần Sông Hồng
SHE,8425751,STOCK,HNX,Son Ha Development of Renewable Energy Joint Stock Company,Son Ha Development of Renewable Energy,PT Năng Lượng Sơn Hà,Công ty Cổ phần Phát triển Năng Lượng Sơn Hà
SHC,8426081,STOCK,UPCOM,Sai Gon Maritime Joint Stock Company,Sai Gon Maritime,Hàng hải Sài Gòn,Công ty Cổ phần Hàng hải Sài Gòn
SHB,8424856,STOCK,HSX,Saigon-Hanoi Commercial Joint Stock Bank,SH Bank,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
SHA,8424526,STOCK,HSX,Son Ha Sai Gon Joint Stock Company,Son Ha Sai Gon,Sơn Hà Sài Gòn,Công ty Cổ phần Sơn Hà Sài Gòn
SGT,8425016,STOCK,HSX,Saigon Telecommunication And Technologies Corporation,Saigon Telecom,Sài Gòn Telecom,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn
SGS,8426127,STOCK,UPCOM,Saigon Shipping Joint Stock Company,Saigon Shipping,Vận tải biển Sài Gòn,Công ty Cổ phần Vận tải biển Sài Gòn
SGR,8424620,STOCK,HSX,Saigon Real Estate Group Joint Stock Company,SAIGONRES Group,Địa ốc Sài Gòn,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn
SGP,8425252,STOCK,UPCOM,Sai Gon Port Joint Stock Company,Saigon Port,Cảng Sài Gòn,Công ty Cổ phần Cảng Sài Gòn
SGO,8425231,STOCK,DELISTED,Saigon Vegetable Oil Joint Stock Company,Saigon Oil,Dầu thực vật Sài Gòn,Công ty Cổ phần Dầu thực vật Sài Gòn
SGN,8424618,STOCK,HSX,Saigon Ground Services Joint Stock Company,Saigon Ground Services,Phục vụ mặt đất Sài Gòn,Công ty Cổ phần Phục vụ mặt đất Sài Gòn
SGI,8425589,STOCK,UPCOM,Sai Gon 3 Group Investment Development Joint Stock Company,Sai Gon 3 Group Investment Development,ĐT PT Sài Gòn 3 Group,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group
SGH,8425592,STOCK,HNX,Saigon Hotel Corporation,Saigon Hotel Corp.,Khách sạn Sài Gòn,Công ty Cổ phần Khách sạn Sài Gòn
SGD,8425170,STOCK,HNX,Educational Book Joint Stock Company in Ho Chi Minh City,Ho Chi Minh Edu Books,Sách GD TP.HCM,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh
