exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
09/05/11,2011.0,0.18,share,CT6
14/04/10,2010.0,0.167,share,CT6
19/12/12,2012.0,0.05,share,CTA
14/12/10,2010.0,0.05,cash,CTA
29/08/24,2023.0,0.2,cash,CTB
24/08/23,2022.0,0.15,cash,CTB
07/07/22,2021.0,0.15,cash,CTB
08/09/21,2020.0,0.15,cash,CTB
27/04/20,2019.0,0.1,cash,CTB
30/12/19,2019.0,0.1,cash,CTB
31/05/19,2018.0,0.1,cash,CTB
19/12/18,2018.0,0.15,cash,CTB
16/04/18,2017.0,0.1,cash,CTB
05/02/18,2017.0,0.1,cash,CTB
01/12/16,2016.0,0.12,cash,CTB
29/03/16,2015.0,0.03,cash,CTB
25/01/16,2015.0,0.12,cash,CTB
16/03/15,2014.0,0.17,cash,CTB
19/02/14,2013.0,0.2,cash,CTB
14/07/16,2015.0,0.05,cash,CTC
23/09/15,2014.0,0.04,cash,CTC
23/09/15,2015.0,0.01,cash,CTC
25/03/14,2012.0,0.06,cash,CTC
25/03/14,2013.0,0.01,cash,CTC
22/06/12,2011.0,0.06,cash,CTC
22/06/12,2011.0,0.06,cash,CTC
31/10/11,2011.0,0.05,share,CTC
22/12/10,2010.0,0.07,cash,CTC
10/05/10,2009.0,0.06,cash,CTC
03/08/09,2009.0,0.1,cash,CTC
12/03/09,2008.0,0.06,cash,CTC
28/10/08,2008.0,0.1,cash,CTC
24/12/24,2024.0,0.1,cash,CTD
22/09/21,2020.0,0.1,cash,CTD
28/08/20,2019.0,0.3,cash,CTD
26/09/19,2018.0,0.3,cash,CTD
13/08/18,2017.0,0.5,cash,CTD
30/08/17,2016.0,0.5,cash,CTD
09/05/16,2015.0,0.55,cash,CTD
03/06/15,2014.0,0.5,cash,CTD
25/06/14,2013.0,0.1,cash,CTD
21/02/14,2013.0,0.1,cash,CTD
30/05/13,2012.0,0.1,cash,CTD
14/01/13,2012.0,0.1,cash,CTD
19/04/12,2011.0,0.2,cash,CTD
09/05/11,2010.0,0.1,cash,CTD
31/08/10,2010.0,0.1,cash,CTD
06/12/24,2024.0,0.07,share,CTF
12/10/23,2023.0,0.12,share,CTF
12/07/22,2022.0,0.05,share,CTF
06/12/21,2021.0,0.06,share,CTF
17/06/19,2019.0,0.1,share,CTF
29/08/18,2017.0,0.1,cash,CTF
27/10/17,2016.0,0.1,cash,CTF
31/12/16,2016.0,0.05,cash,CTF
31/12/15,2015.0,0.046,cash,CTF
30/11/23,2023.0,0.117,share,CTG
14/12/21,2020.0,0.08,cash,CTG
07/07/21,2021.0,0.291,share,CTG
17/12/20,2019.0,0.05,cash,CTG
27/09/17,2016.0,0.07,cash,CTG
16/01/17,2015.0,0.07,cash,CTG
23/06/15,2014.0,0.1,cash,CTG
21/05/14,2013.0,0.1,cash,CTG
06/09/13,2012.0,0.16,cash,CTG
30/03/12,2012.0,0.2,share,CTG
14/01/11,2010.0,0.135,cash,CTG
06/09/10,2010.0,0.068,share,CTG
17/09/21,2020.0,0.1,cash,CTI
09/12/20,2019.0,0.12,cash,CTI
18/06/20,2018.0,0.12,cash,CTI
17/10/18,2017.0,0.08,cash,CTI
17/08/17,2016.0,0.06,cash,CTI
17/08/17,2017.0,0.07,cash,CTI
04/01/17,2016.0,0.1,cash,CTI
04/05/16,2015.0,0.15,cash,CTI
24/09/15,2014.0,0.1,cash,CTI
17/07/12,2011.0,0.1,cash,CTI
18/04/11,2011.0,0.2,share,CTI
26/01/11,2010.0,0.16,cash,CTI
27/08/14,2013.0,0.03,cash,CTN
10/10/11,2011.0,0.1,share,CTN
10/10/11,2010.0,0.08,cash,CTN
25/05/10,2009.0,0.18,cash,CTN
07/05/09,2008.0,0.08,cash,CTN
11/03/09,2008.0,0.1,cash,CTN
04/03/08,2007.0,0.06,cash,CTN
10/10/07,2007.0,0.12,cash,CTN
24/01/07,2006.0,0.15,cash,CTN
25/09/18,2018.0,0.1,share,CTP
02/02/18,2018.0,0.1,share,CTP
26/07/17,2016.0,0.05,cash,CTP
27/09/24,2023.0,0.272,cash,CTR
18/01/24,2022.0,0.192,cash,CTR
29/06/23,2022.0,0.1,cash,CTR
17/06/22,2021.0,0.1,cash,CTR
17/06/22,2022.0,0.231,share,CTR
23/06/21,2020.0,0.1,cash,CTR
03/08/20,2019.0,0.1,cash,CTR
03/08/20,2020.0,0.16,share,CTR
06/09/19,2019.0,0.171,share,CTR
06/09/19,2018.0,0.1,cash,CTR
16/11/18,2017.0,0.1,cash,CTR
16/11/18,2018.0,0.1,share,CTR
05/06/17,2017.0,0.1,share,CTR
05/06/17,2016.0,0.1,cash,CTR
07/10/16,2015.0,0.08,cash,CTR
24/08/22,2022.0,0.22,share,CTS
28/03/22,2022.0,0.08,share,CTS
13/09/19,2018.0,0.1,cash,CTS
07/09/18,2018.0,0.09,share,CTS
08/08/17,2017.0,0.08,share,CTS
14/07/16,2016.0,0.08,share,CTS
28/09/15,2015.0,0.06,share,CTS
12/09/14,2013.0,0.06,cash,CTS
03/10/13,2012.0,0.06,cash,CTS
17/05/12,2011.0,0.06,cash,CTS
21/05/10,2009.0,0.058,cash,CTS
11/07/24,2023.0,0.1,cash,CTT
07/09/23,2022.0,0.13,cash,CTT
06/10/22,2021.0,0.13,cash,CTT
14/09/21,2020.0,0.1,cash,CTT
17/09/20,2019.0,0.1,cash,CTT
23/08/19,2018.0,0.1,cash,CTT
20/09/18,2017.0,0.09,cash,CTT
15/09/17,2016.0,0.08,cash,CTT
01/09/16,2015.0,0.08,cash,CTT
05/08/15,2014.0,0.08,cash,CTT
30/05/24,2023.0,0.066,cash,CTW
30/05/23,2022.0,0.076,cash,CTW
30/05/22,2021.0,0.063,cash,CTW
28/05/21,2020.0,0.069,cash,CTW
28/05/20,2019.0,0.068,cash,CTW
30/05/19,2018.0,0.057,cash,CTW
24/05/18,2017.0,0.058,cash,CTW
18/05/17,2016.0,0.057,cash,CTW
18/05/16,2015.0,0.029,cash,CTW
12/12/12,2011.0,0.11,cash,CTX
07/12/20,2019.0,0.2,cash,CVN
07/12/20,2020.0,0.4,share,CVN
19/01/11,2011.0,0.25,share,CVN
19/04/21,2020.0,0.2,cash,CVT
19/08/20,2019.0,0.15,cash,CVT
13/05/19,2018.0,0.25,cash,CVT
15/05/18,2017.0,0.15,cash,CVT
15/05/18,2018.0,0.3,share,CVT
17/05/17,2016.0,0.1,cash,CVT
17/05/17,2017.0,0.4,share,CVT
04/07/16,2015.0,0.25,cash,CVT
10/06/15,2015.0,0.2,share,CVT
10/06/15,2014.0,0.05,cash,CVT
23/07/14,2013.0,0.18,cash,CVT
13/08/13,2012.0,0.11,cash,CVT
13/06/12,2011.0,0.2,cash,CVT
27/05/11,2010.0,0.15,cash,CVT
26/10/10,2010.0,0.1,cash,CVT
19/12/24,2023.0,0.01,cash,CX8
30/08/23,2022.0,0.015,cash,CX8
24/03/21,2019.0,0.015,cash,CX8
07/02/20,2018.0,0.035,cash,CX8
27/02/19,2017.0,0.035,cash,CX8
02/02/18,2016.0,0.036,cash,CX8
13/01/17,2015.0,0.042,cash,CX8
19/02/16,2014.0,0.051,cash,CX8
29/01/15,2011.0,0.048,cash,CX8
08/07/11,2010.0,0.121,cash,CX8
13/07/10,2009.0,0.125,cash,CX8
24/06/22,2023.0,0.12,share,D11
22/10/20,2019.0,0.12,cash,D11
26/09/19,2018.0,0.12,cash,D11
17/12/18,2017.0,0.1,cash,D11
30/11/17,2016.0,0.05,cash,D11
13/07/17,2015.0,0.04,cash,D11
14/04/17,2016.0,0.05,cash,D11
25/01/16,2015.0,0.08,cash,D11
15/04/15,2014.0,0.12,cash,D11
17/07/14,2013.0,0.15,cash,D11
27/09/13,2012.0,0.1,cash,D11
27/09/13,2013.0,0.2,share,D11
30/08/11,2011.0,0.4,share,D11
09/09/10,2010.0,0.3,share,D11
11/10/24,2023.0,0.87,cash,D2D
19/07/23,2022.0,0.3,cash,D2D
23/05/22,2021.0,0.35,cash,D2D
19/08/21,2021.0,0.15,cash,D2D
21/05/21,2020.0,0.2,cash,D2D
17/09/20,2020.0,0.15,cash,D2D
25/05/20,2019.0,0.15,cash,D2D
13/02/20,2019.0,0.15,cash,D2D
17/06/19,2018.0,0.15,cash,D2D
11/12/18,2018.0,0.15,cash,D2D
19/06/18,2017.0,0.3,cash,D2D
25/05/17,2016.0,0.15,cash,D2D
19/09/16,2016.0,0.1,cash,D2D
19/05/16,2015.0,0.15,cash,D2D
19/01/16,2015.0,0.1,cash,D2D
13/07/11,2010.0,0.1,cash,DAC
04/10/10,2010.0,0.1,cash,DAC
30/11/09,2009.0,0.3,cash,DAC
26/05/09,2008.0,0.15,cash,DAC
25/03/09,2008.0,0.3,cash,DAC
16/10/08,2008.0,0.34,share,DAC
16/05/08,2007.0,0.08,cash,DAC
28/02/07,2006.0,0.12,cash,DAC
09/01/25,2024.0,0.15,cash,DAD
27/05/24,2023.0,0.05,cash,DAD
05/01/24,2023.0,0.15,cash,DAD
23/02/23,2022.0,0.15,cash,DAD
02/03/22,2021.0,0.15,cash,DAD
04/03/21,2020.0,0.15,cash,DAD
28/02/20,2019.0,0.15,cash,DAD
06/03/19,2018.0,0.15,cash,DAD
08/03/18,2017.0,0.18,cash,DAD
29/12/16,2016.0,0.17,cash,DAD
31/12/15,2015.0,0.17,cash,DAD
26/12/14,2014.0,0.15,cash,DAD
05/12/13,2013.0,0.17,cash,DAD
05/12/12,2012.0,0.07,cash,DAD
05/12/12,2011.0,0.01,cash,DAD
21/05/24,2023.0,0.12,cash,DAE
08/08/23,2023.0,0.12,share,DAE
18/03/22,2021.0,0.12,cash,DAE
03/03/21,2020.0,0.14,cash,DAE
09/03/20,2019.0,0.16,cash,DAE
07/12/18,2018.0,0.16,cash,DAE
21/11/17,2017.0,0.16,cash,DAE
06/03/17,2016.0,0.16,cash,DAE
27/11/15,2015.0,0.16,cash,DAE
19/11/14,2014.0,0.16,cash,DAE
14/02/14,2012.0,0.01,cash,DAE
14/02/14,2013.0,0.07,cash,DAE
18/09/13,2013.0,0.09,cash,DAE
21/03/13,2012.0,0.06,cash,DAE
23/10/12,2012.0,0.09,cash,DAE
27/09/18,2017.0,0.05,cash,DAG
13/10/17,2016.0,0.05,cash,DAG
13/01/17,2015.0,0.05,cash,DAG
07/07/15,2015.0,0.1,share,DAG
05/03/15,2015.0,0.05,share,DAG
20/08/14,2013.0,0.1,cash,DAG
15/10/13,2012.0,0.139,cash,DAG
11/07/12,2012.0,0.1,share,DAG
13/01/11,2010.0,0.14,cash,DAG
11/06/10,2009.0,0.14,cash,DAG
25/10/18,2017.0,0.06,cash,DAH
30/10/17,2016.0,0.08,cash,DAH
05/09/24,2023.0,0.07,cash,DAN
09/08/23,2022.0,0.07,cash,DAN
24/08/22,2021.0,0.12,cash,DAN
22/07/21,2020.0,0.1,cash,DAN
23/08/24,2023.0,0.1,cash,DAS
06/10/21,2020.0,0.04,cash,DAS
30/10/20,2019.0,0.03,cash,DAS
20/06/19,2018.0,0.03,cash,DAS
31/05/18,2017.0,0.02,cash,DAS
01/07/24,2024.0,0.1,share,DAT
09/08/22,2022.0,0.14,share,DAT
19/01/22,2022.0,0.2,share,DAT
24/06/19,2019.0,0.05,share,DAT
30/11/17,2017.0,0.15,share,DAT
22/06/22,2022.0,0.05,share,DBC
29/09/21,2021.0,0.2,cash,DBC
10/06/21,2021.0,0.1,share,DBC
16/09/20,2020.0,0.15,cash,DBC
06/04/20,2019.0,0.05,cash,DBC
06/04/20,2020.0,0.05,share,DBC
06/04/20,2020.0,0.1,share,DBC
12/04/19,2019.0,0.1,share,DBC
30/03/18,2017.0,0.1,cash,DBC
14/03/17,2017.0,0.1,share,DBC
20/06/16,2016.0,0.05,cash,DBC
04/03/16,2016.0,0.2,share,DBC
12/11/15,2015.0,0.05,cash,DBC
21/11/14,2014.0,0.15,cash,DBC
15/05/14,2013.0,0.02,cash,DBC
19/06/24,2024.0,0.25,share,DBD
22/03/23,2022.0,0.2,cash,DBD
09/06/22,2022.0,0.3,share,DBD
14/06/21,2021.0,0.1,share,DBD
15/03/21,2020.0,0.15,cash,DBD
23/03/20,2019.0,0.15,cash,DBD
19/03/19,2018.0,0.15,cash,DBD
22/03/18,2017.0,0.15,cash,DBD
27/02/17,2016.0,0.15,cash,DBD
31/12/15,2015.0,0.15,cash,DBD
25/12/14,2014.0,0.1,cash,DBD
11/06/24,2023.0,0.17,cash,DBM
08/06/23,2022.0,0.17,cash,DBM
09/06/22,2021.0,0.17,cash,DBM
14/06/21,2020.0,0.05,cash,DBM
01/12/20,2020.0,0.12,cash,DBM
20/08/20,2019.0,0.05,cash,DBM
29/11/19,2019.0,0.12,cash,DBM
27/05/19,2018.0,0.05,cash,DBM
13/12/18,2018.0,0.12,cash,DBM
29/05/18,2017.0,0.12,cash,DBM
20/04/17,2016.0,0.12,cash,DBM
25/05/16,2015.0,0.12,cash,DBM
15/06/15,2014.0,0.17,cash,DBM
22/05/14,2013.0,0.25,cash,DBM
13/05/13,2012.0,0.25,cash,DBM
05/07/24,2024.0,0.14,share,DBT
30/01/23,2023.0,0.1,share,DBT
19/02/21,2020.0,0.07,cash,DBT
30/10/19,2019.0,0.1,cash,DBT
14/11/18,2018.0,0.08,cash,DBT
03/04/18,2017.0,0.15,cash,DBT
21/03/17,2016.0,0.1,cash,DBT
20/12/16,2017.0,0.15,share,DBT
28/01/16,2015.0,0.1,cash,DBT
26/11/15,2015.0,0.1,share,DBT
20/08/14,2014.0,0.1,cash,DBT
24/03/14,2013.0,0.1,cash,DBT
07/08/13,2013.0,0.1,cash,DBT
27/03/13,2012.0,0.1,cash,DBT
31/07/12,2012.0,0.1,cash,DBT
22/09/23,2022.0,0.05,cash,DC1
22/09/23,2023.0,0.1,share,DC1
12/04/22,2022.0,0.3,share,DC1
03/09/20,2019.0,0.2,cash,DC1
27/06/19,2019.0,0.05,share,DC1
27/06/19,2018.0,0.15,cash,DC1
22/10/18,2017.0,0.1,cash,DC1
22/10/18,2018.0,0.1,share,DC1
22/06/23,2023.0,0.05,share,DC2
26/05/22,2022.0,0.1,share,DC2
19/07/21,2021.0,0.1,share,DC2
19/07/21,2020.0,0.05,cash,DC2
19/09/18,2017.0,0.08,cash,DC2
13/09/17,2016.0,0.08,cash,DC2
16/07/12,2011.0,0.15,cash,DC2
27/05/11,2011.0,0.2,share,DC2
21/09/10,2010.0,0.1,share,DC2
08/01/25,2024.0,0.05,cash,DC4
27/06/24,2024.0,0.1,share,DC4
09/06/22,2022.0,0.05,share,DC4
09/07/21,2021.0,0.05,share,DC4
26/08/20,2020.0,0.05,share,DC4
26/08/20,2019.0,0.02,cash,DC4
13/05/19,2019.0,0.1,share,DC4
09/07/18,2017.0,0.06,cash,DC4
29/11/17,2017.0,0.05,share,DC4
07/10/16,2015.0,0.08,cash,DC4
07/10/15,2014.0,0.05,cash,DC4
15/09/14,2014.0,0.05,share,DC4
06/08/14,2013.0,0.05,cash,DC4
16/10/13,2012.0,0.1,cash,DC4
13/03/12,2011.0,0.13,cash,DC4
10/08/18,2017.0,0.05,cash,DCF
11/06/18,2017.0,0.05,cash,DCF
18/05/17,2016.0,0.05,cash,DCF
03/02/17,2016.0,0.05,cash,DCF
12/01/17,2016.0,0.05,cash,DCF
19/05/16,2015.0,0.05,cash,DCF
20/01/16,2015.0,0.05,cash,DCF
19/05/15,2014.0,0.05,cash,DCF
21/01/15,2014.0,0.05,cash,DCF
30/04/08,2008.0,0.257,share,DCF
31/08/05,2005.0,0.27,share,DCF
21/08/24,2023.0,0.15,cash,DCG
11/09/23,2022.0,0.2,cash,DCG
26/05/22,2021.0,0.15,cash,DCG
14/09/21,2020.0,0.1,cash,DCG
27/10/20,2019.0,0.2,cash,DCG
24/06/19,2018.0,0.3,cash,DCG
30/06/18,2017.0,0.3,cash,DCG
31/12/16,2016.0,0.3,cash,DCG
31/12/15,2015.0,0.3,cash,DCG
22/05/24,2023.0,0.01,cash,DCH
25/05/23,2022.0,0.01,cash,DCH
28/04/21,2020.0,0.02,cash,DCH
17/04/20,2019.0,0.03,cash,DCH
11/04/19,2018.0,0.035,cash,DCH
28/09/18,2015.0,0.012,cash,DCH
28/09/18,2016.0,0.045,cash,DCH
28/09/18,2017.0,0.049,cash,DCH
22/06/18,2017.0,0.05,cash,DCL
28/05/14,2013.0,0.06,cash,DCL
25/05/11,2010.0,0.1,cash,DCL
22/12/10,2010.0,0.1,cash,DCL
17/03/10,2009.0,0.15,cash,DCL
22/07/09,2009.0,0.1,cash,DCL
12/02/09,2008.0,0.1,cash,DCL
24/10/08,2008.0,0.1,cash,DCL
24/06/24,2023.0,0.2,cash,DCM
29/08/23,2022.0,0.3,cash,DCM
05/07/22,2021.0,0.18,cash,DCM
07/07/21,2020.0,0.08,cash,DCM
28/10/20,2019.0,0.06,cash,DCM
25/09/19,2018.0,0.09,cash,DCM
22/08/18,2017.0,0.09,cash,DCM
15/06/17,2016.0,0.05,cash,DCM
11/11/16,2016.0,0.04,cash,DCM
02/06/16,2015.0,0.08,cash,DCM
07/06/12,2012.0,0.021,share,DCS
05/10/11,2011.0,0.038,share,DCS
19/07/10,2010.0,0.12,share,DCS
08/08/08,2008.0,0.112,share,DCS
20/09/10,2009.0,0.05,cash,DCT
19/04/10,2009.0,0.1,cash,DCT
16/09/09,2008.0,0.07,cash,DCT
15/12/08,2008.0,0.08,cash,DCT
14/02/08,2007.0,0.15,cash,DCT
19/03/07,2006.0,0.06,cash,DCT
12/12/06,2006.0,0.08,cash,DCT
14/05/20,2020.0,0.21,share,DDG
16/05/24,2023.0,0.06,cash,DDH
28/07/23,2022.0,0.005,cash,DDH
21/07/22,2021.0,0.012,cash,DDH
22/07/21,2020.0,0.05,cash,DDH
11/06/19,2018.0,0.015,cash,DDH
29/05/18,2017.0,0.018,cash,DDH
24/05/17,2016.0,0.012,cash,DDH
02/03/10,2009.0,0.05,cash,DDM
13/07/09,2008.0,0.036,cash,DDM
22/10/08,2008.0,0.2,share,DDM
11/09/08,2008.0,0.1,cash,DDM
30/05/23,2022.0,0.05,cash,DDN
16/06/22,2022.0,0.1,share,DDN
12/11/21,2022.0,0.15,share,DDN
21/08/20,2019.0,0.12,cash,DDN
27/06/19,2019.0,0.15,share,DDN
06/07/18,2018.0,0.15,share,DDN
19/06/17,2016.0,0.15,cash,DDN
04/11/16,2016.0,0.25,share,DDN
27/05/15,2014.0,0.18,cash,DDN
08/07/14,2014.0,0.3,share,DDN
15/05/13,2012.0,0.2,cash,DDN
14/05/12,2011.0,0.2,cash,DDN
30/05/11,2010.0,0.2,cash,DDN
28/05/10,2009.0,0.03,cash,DDN
02/04/10,2009.0,0.12,cash,DDN
27/06/24,2023.0,0.06,cash,DDV
18/08/23,2022.0,0.05,cash,DDV
13/01/23,2022.0,0.05,cash,DDV
03/10/16,2015.0,0.025,cash,DDV
31/08/16,2015.0,0.025,cash,DDV
27/08/24,2023.0,0.2,cash,DFC
27/07/23,2022.0,0.174,cash,DFC
23/08/21,2020.0,0.11,cash,DFC
10/09/20,2019.0,0.13,cash,DFC
17/07/19,2018.0,0.33,cash,DFC
11/06/18,2017.0,0.29,cash,DFC
19/05/17,2016.0,0.42,cash,DFC
30/05/16,2015.0,0.45,cash,DFC
15/06/15,2014.0,0.356,cash,DFC
19/11/24,2024.0,0.3,cash,DGC
19/12/23,2023.0,0.3,cash,DGC
13/04/23,2022.0,0.1,cash,DGC
19/12/22,2022.0,0.3,cash,DGC
03/06/22,2022.0,1.17,share,DGC
29/12/21,2021.0,0.1,cash,DGC
07/05/21,2021.0,0.15,share,DGC
14/12/20,2020.0,0.15,cash,DGC
07/08/20,2019.0,0.05,cash,DGC
07/08/20,2020.0,0.15,share,DGC
20/12/19,2019.0,0.1,cash,DGC
08/05/19,2019.0,0.15,share,DGC
11/04/19,2018.0,0.05,cash,DGC
16/01/19,2018.0,0.1,cash,DGC
17/01/18,2016.0,0.15,cash,DGC
08/08/17,2015.0,0.04,cash,DGT
04/02/16,2014.0,0.03,cash,DGT
18/06/14,2013.0,0.05,cash,DGT
20/12/13,2012.0,0.05,cash,DGT
26/12/12,2012.0,0.07,cash,DGT
07/07/10,2009.0,0.05,cash,DGT
13/09/24,2023.0,0.05,cash,DGW
13/09/24,2024.0,0.3,share,DGW
16/10/23,2022.0,0.1,cash,DGW
01/07/22,2021.0,0.1,cash,DGW
24/08/21,2020.0,0.1,cash,DGW
20/07/20,2019.0,0.1,cash,DGW
03/10/19,2018.0,0.05,cash,DGW
14/05/18,2017.0,0.08,cash,DGW
19/05/17,2016.0,0.07,cash,DGW
25/02/16,2015.0,0.15,cash,DGW
09/10/15,2014.0,0.1,cash,DGW
09/10/15,2015.0,0.3,share,DGW
23/01/25,2024.0,0.15,cash,DHA
02/07/24,2023.0,0.2,cash,DHA
14/09/23,2023.0,0.3,cash,DHA
08/06/23,2022.0,0.2,cash,DHA
03/01/23,2022.0,0.3,cash,DHA
09/05/22,2021.0,0.2,cash,DHA
10/01/22,2021.0,0.3,cash,DHA
13/05/21,2020.0,0.3,cash,DHA
21/10/20,2020.0,0.15,cash,DHA
21/05/20,2019.0,0.15,cash,DHA
21/05/20,2020.0,0.05,cash,DHA
11/11/19,2019.0,0.15,cash,DHA
11/06/19,2018.0,0.2,cash,DHA
04/07/18,2017.0,0.1,cash,DHA
04/07/18,2018.0,0.1,cash,DHA
10/06/24,2023.0,0.1,cash,DHC
24/11/23,2023.0,0.1,cash,DHC
25/08/23,2022.0,0.05,cash,DHC
25/05/23,2022.0,0.1,cash,DHC
14/12/22,2022.0,0.1,cash,DHC
14/12/22,2023.0,0.15,share,DHC
14/11/22,2021.0,0.05,cash,DHC
14/11/22,2022.0,0.05,cash,DHC
19/07/22,2021.0,0.1,cash,DHC
13/05/22,2021.0,0.15,cash,DHC
23/07/21,2020.0,0.05,cash,DHC
23/07/21,2021.0,0.05,cash,DHC
23/07/21,2021.0,0.25,share,DHC
30/12/20,2020.0,0.2,cash,DHC
09/04/20,2019.0,0.1,cash,DHC
09/05/24,2023.0,0.03,cash,DHD
17/04/23,2022.0,0.04,cash,DHD
11/07/22,2021.0,0.05,cash,DHD
11/07/22,2022.0,0.25,share,DHD
02/06/21,2021.0,0.2,share,DHD
07/04/21,2020.0,0.06,cash,DHD
23/04/20,2019.0,0.05,cash,DHD
23/04/20,2020.0,0.25,share,DHD
23/05/19,2018.0,0.07,cash,DHD
11/05/18,2017.0,0.07,cash,DHD
31/08/16,2016.0,1.0,share,DHD
02/06/16,2015.0,0.03,cash,DHD
26/10/15,2015.0,0.23,cash,DHD
23/01/15,2014.0,0.23,cash,DHD
08/01/14,2013.0,0.23,cash,DHD
24/12/24,2024.0,0.4,cash,DHG
08/08/24,2023.0,0.35,cash,DHG
11/06/24,2023.0,0.4,cash,DHG
10/05/23,2022.0,0.35,cash,DHG
01/04/22,2021.0,0.35,cash,DHG
07/05/21,2020.0,0.4,cash,DHG
14/07/20,2019.0,0.1,cash,DHG
11/05/20,2019.0,0.3,cash,DHG
02/07/19,2018.0,0.05,cash,DHG
13/03/19,2018.0,0.2,cash,DHG
30/07/18,2018.0,0.1,cash,DHG
18/04/18,2017.0,0.05,cash,DHG
28/12/17,2017.0,0.15,cash,DHG
18/09/17,2017.0,0.1,cash,DHG
04/05/17,2016.0,0.35,cash,DHG
04/10/16,2016.0,0.07,share,DHM
13/08/12,2012.0,0.15,cash,DHM
23/08/24,2023.0,0.1,cash,DHN
17/01/24,2023.0,0.1,cash,DHN
02/08/23,2022.0,0.1,cash,DHN
16/12/22,2022.0,0.08,cash,DHN
29/07/22,2021.0,0.06,cash,DHN
31/12/21,2020.0,0.04,cash,DHN
31/12/21,2021.0,0.08,cash,DHN
17/07/20,2019.0,0.03,cash,DHN
17/07/20,2020.0,0.08,cash,DHN
19/09/19,2018.0,0.01,cash,DHN
19/09/19,2019.0,0.08,cash,DHN
22/02/19,2018.0,0.05,cash,DHN
24/07/18,2018.0,0.05,cash,DHN
29/12/17,2017.0,0.1,cash,DHN
30/12/16,2016.0,0.1,cash,DHN
27/12/24,2024.0,0.05,cash,DHP
05/06/24,2023.0,0.05,cash,DHP
12/01/24,2023.0,0.05,cash,DHP
01/06/23,2022.0,0.05,cash,DHP
28/12/22,2022.0,0.05,cash,DHP
02/06/22,2021.0,0.05,cash,DHP
05/01/22,2021.0,0.05,cash,DHP
28/05/21,2020.0,0.05,cash,DHP
08/01/21,2020.0,0.05,cash,DHP
09/07/20,2019.0,0.05,cash,DHP
06/01/20,2019.0,0.05,cash,DHP
30/05/19,2018.0,0.05,cash,DHP
08/01/19,2018.0,0.05,cash,DHP
17/05/18,2017.0,0.05,cash,DHP
20/12/17,2017.0,0.05,cash,DHP
30/10/24,2024.0,0.05,cash,DHT
19/01/24,2023.0,0.05,cash,DHT
21/11/22,2022.0,0.1,cash,DHT
11/01/22,2021.0,0.1,cash,DHT
03/12/20,2020.0,0.1,cash,DHT
24/04/20,2019.0,0.1,cash,DHT
24/04/20,2020.0,0.1,cash,DHT
15/07/19,2019.0,0.2,cash,DHT
31/10/18,2018.0,0.1,cash,DHT
15/06/18,2018.0,0.1,cash,DHT
28/02/18,2017.0,0.1,cash,DHT
29/08/17,2017.0,0.1,cash,DHT
30/11/16,2016.0,0.2,cash,DHT
19/04/16,2015.0,0.1,cash,DHT
08/12/15,2015.0,0.2,cash,DHT
19/10/17,2016.0,0.03,cash,DIC
27/10/16,2015.0,0.035,cash,DIC
06/08/14,2013.0,0.06,cash,DIC
30/09/13,2013.0,0.04,share,DIC
17/04/13,2012.0,0.04,cash,DIC
18/06/12,2011.0,0.1,cash,DIC
21/03/11,2010.0,0.12,cash,DIC
25/02/10,2009.0,0.15,cash,DIC
10/04/09,2008.0,0.1,cash,DIC
26/05/08,2007.0,0.19,cash,DIC
05/06/07,2007.0,0.05,share,DIC
29/01/07,2006.0,0.15,cash,DIC
03/04/12,2011.0,0.1,cash,DID
17/03/11,2010.0,0.14,cash,DID
10/03/10,2009.0,0.1,cash,DID
21/07/22,2022.0,0.17,share,DIG
08/06/21,2021.0,0.17,share,DIG
30/03/21,2021.0,0.1,share,DIG
14/08/19,2019.0,0.05,share,DIG
07/03/19,2018.0,0.07,cash,DIG
14/08/18,2018.0,0.06,share,DIG
30/10/17,2016.0,0.045,cash,DIG
28/12/12,2011.0,0.1,cash,DIG
28/12/12,2012.0,0.03,share,DIG
19/10/11,2011.0,0.16,share,DIG
19/10/11,2010.0,0.05,cash,DIG
22/12/10,2010.0,0.1,cash,DIG
22/12/09,2009.0,0.18,cash,DIG
22/12/09,2009.0,0.429,share,DIG
11/09/09,2009.0,0.12,cash,DIG
09/07/24,2024.0,0.15,share,DIH
19/09/23,2022.0,0.06,cash,DIH
19/09/22,2021.0,0.01,cash,DIH
17/09/21,2020.0,0.01,cash,DIH
25/09/20,2019.0,0.03,cash,DIH
25/09/19,2018.0,0.04,cash,DIH
28/08/18,2018.0,0.09,share,DIH
14/09/17,2016.0,0.1,cash,DIH
14/09/16,2015.0,0.1,cash,DIH
10/09/15,2014.0,0.1,cash,DIH
18/06/14,2013.0,0.08,cash,DIH
18/07/13,2012.0,0.25,cash,DIH
18/04/12,2011.0,0.3,cash,DIH
04/05/11,2010.0,0.27,cash,DIH
31/07/10,2010.0,0.15,share,DIH
07/06/24,2023.0,0.13,cash,DKC
24/08/23,2022.0,0.13,cash,DKC
30/05/22,2021.0,0.085,cash,DKC
14/10/20,2019.0,0.03,cash,DKC
31/12/18,2018.0,0.03,cash,DKC
29/12/17,2017.0,0.024,cash,DKC
09/02/22,2022.0,0.05,share,DL1
28/07/16,2016.0,0.055,share,DL1
13/10/14,2014.0,0.1,share,DL1
10/09/13,2013.0,0.15,share,DL1
