exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
26/03/20,2019.0,0.1,cash,ACE
26/08/19,2018.0,0.25,cash,ACE
06/11/24,2024.0,0.08,cash,ACG
24/06/24,2023.0,0.08,cash,ACG
01/12/23,2023.0,0.07,cash,ACG
18/07/23,2023.0,0.11,share,ACG
14/10/22,2022.0,0.11,cash,ACG
16/06/22,2021.0,0.2,cash,ACG
13/04/22,2022.0,0.5,share,ACG
07/03/22,2021.0,0.05,cash,ACG
31/12/20,2020.0,0.3,cash,ACG
02/01/19,2019.0,0.82,share,ACG
27/03/23,2022.0,0.07,cash,ACL
23/12/21,2021.0,0.06,cash,ACL
05/08/20,2020.0,1.2,share,ACL
31/10/19,2019.0,0.15,cash,ACL
27/11/18,2018.0,0.2,cash,ACL
25/01/16,2015.0,0.06,cash,ACL
27/01/15,2014.0,0.05,cash,ACL
15/03/13,2012.0,0.045,cash,ACL
08/02/12,2011.0,0.2,cash,ACL
17/10/11,2011.0,0.25,cash,ACL
02/03/11,2010.0,0.1,cash,ACL
29/10/10,2010.0,0.2,cash,ACL
21/04/10,2009.0,0.15,cash,ACL
13/10/09,2009.0,0.15,cash,ACL
05/11/08,2008.0,0.2,cash,ACL
17/06/16,2015.0,0.025,cash,ACM
07/10/19,2019.0,0.1,cash,ACS
17/05/19,2018.0,0.1,cash,ACS
15/02/19,2018.0,0.05,cash,ACS
08/06/18,2017.0,0.1,cash,ACS
01/06/17,2017.0,0.05,cash,ACS
31/12/16,2016.0,0.1,cash,ACS
31/12/15,2015.0,0.1,cash,ACS
15/11/19,2018.0,0.09,cash,ACV
20/09/18,2017.0,0.09,cash,ACV
09/11/17,2016.0,0.06,cash,ACV
20/03/24,2023.0,0.15,cash,ADC
22/03/23,2022.0,0.15,cash,ADC
14/03/22,2021.0,0.14,cash,ADC
27/05/21,2020.0,0.15,cash,ADC
10/03/20,2019.0,0.14,cash,ADC
08/03/19,2018.0,0.14,cash,ADC
27/02/18,2017.0,0.14,cash,ADC
08/03/17,2016.0,0.14,cash,ADC
08/04/16,2015.0,0.15,cash,ADC
18/01/16,2016.0,0.2,share,ADC
23/10/14,2014.0,0.2,share,ADC
06/08/13,2013.0,0.1,share,ADC
25/02/13,2011.0,0.02,cash,ADC
25/02/13,2012.0,0.08,cash,ADC
28/12/11,2011.0,0.15,cash,ADC
17/11/22,2022.0,0.075,share,ADG
06/08/21,2021.0,0.1,share,ADG
06/08/21,2020.0,0.05,cash,ADG
