exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website,industry_id,industry_id_v2,Tickers
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,222,0.0,2025-07-03 00:00:00,2025-07-03 00:00:00,2004.0,992,,3.0,16.0,-76,Cơ khí Phổ Yên,https://fomeco.vn,189,2757,FBC
UPCOM,Bất động sản,CT,126,0.0,6.0,6.0,2004.0,43,,3.0,16.0,-76,Liên hợp Thực phẩm,https://lhtp.com.vn,336,8633,FCC
HOSE,Xây dựng và Vật liệu,CT,3423,0.03,46.2,46.2,2007.0,275,2025-07-02 00:00:00,-15.0,54.0,-345,Khoáng sản FECON,http://feconmining.com.vn,180,2353,FCM
HOSE,Xây dựng và Vật liệu,CT,17004,309.0,157.4,157.4,2004.0,1115,2025-08-02 00:00:00,0.08,224.0,35,FECON CORP,http://www.fecon.com.vn,181,2357,FCN
UPCOM,Thực phẩm và đồ uống,CT,279,0.0,2025-05-29 00:00:00,2025-05-29 00:00:00,2008.0,174,,-51.0,-51.0,-287,Lương thực TP Hồ Chí Minh,http://www.foodcosa.vn,218,3577,FCS
HOSE,Bất động sản,CT,548,0.0,38.6,38.6,1993.0,29,2025-08-01 00:00:00,3.0,215.0,-68,FIDECO,https://fideco.com.vn,336,8633,FDC
UPCOM,Thực phẩm và đồ uống,CT,175,0.0,2025-07-14 00:00:00,2025-07-14 00:00:00,1996.0,31,,3.0,16.0,-268,Cà Phê Gia Lai,http://gialaicoffee.com.vn,216,3537,FGL
UPCOM,Bán lẻ,CT,260,0.0,3.0,3.0,2005.0,146,,3.0,16.0,-69,XNK lương thực Hà Nội,https://vihafood.com,248,5337,FHN
UPCOM,Truyền thông,CT,525,0.0,2025-08-12 00:00:00,2025-08-12 00:00:00,1976.0,2200,,3.0,113.0,377,Phát hành sách TP HCM - FAHASA,http://www.fahasasg.com.vn,256,5557,FHS
UPCOM,Xây dựng và Vật liệu,CT,278,0.0,127.0,127.0,2010.0,765,2025-01-02 00:00:00,28.0,7.0,47,VLXD số 1,https://www.fico.com.vn,180,2353,FIC
HNX,Xây dựng và Vật liệu,CT,3071,0.0,2025-07-24 00:00:00,2025-07-24 00:00:00,2010.0,6,,-64.0,93.0,-0.44,Đầu tư và PT doanh nghiệp VN,http://www.vndi.vn,180,2353,FID
HOSE,Bất động sản,CT,1227,2.0,64.2,64.2,2014.0,32,2025-09-01 00:00:00,13.0,44.0,-627,Địa ốc First Real,https://fir.vn,336,8633,FIR
HOSE,Y tế,CT,22438,0.0,339.9,339.9,2007.0,1722,2025-03-02 00:00:00,-19.0,-35.0,-172,Tập đoàn F.I.T,https://fitgroup.com.vn,238,4577,FIT
UPCOM,Bất động sản,CT,64179,22.0,710.0,710.0,2008.0,510,2025-04-02 00:00:00,3.0,16.0,-76,Tập đoàn FLC,http://www.flc.vn,336,8633,FLC
HOSE,Thực phẩm và đồ uống,CT,1578,309.0,65.4,65.4,2003.0,5868,2025-05-02 00:00:00,4.0,-0.01,4,Thực phẩm Sao Ta,https://www.fimexvn.com,217,3573,FMC
UPCOM,Truyền thông,CT,110,0.01,2025-04-18 00:00:00,2025-05-18 00:00:00,2007.0,364,2025-06-02 00:00:00,-27.0,37.0,0.12,FPT Online,http://www.fptonline.net,255,5555,FOC
UPCOM,Viễn thông,CT,564,0.0,492.5,492.5,2005.0,9252,2025-05-02 00:00:00,-19.0,7.0,711,FPT Telecom,https://fpt.vn,267,6535,FOX
HOSE,Công nghệ Thông tin,CT,121463,452.0,1471.1,1471.1,2002.0,48878,2025-06-02 00:00:00,-13.0,-4.0,714,FPT Corp,https://www.fpt.com.vn,310,9537,FPT
UPCOM,Tài nguyên Cơ bản,CT,197,0.0,3.0,3.0,2015.0,313,,3.0,0.1,0.19,Lâm đặc sản xuất khẩu Quảng Nam,https://forexco.com.vn,155,1733,FRC
UPCOM,Tài nguyên Cơ bản,CT,219,0.0,2025-07-11 00:00:00,2025-07-11 00:00:00,2010.0,46,,3.0,16.0,-381,Lâm nghiệp Sài Gòn,http://www.forimex.vn,155,1733,FRM
HOSE,Bán lẻ,CT,11248,371.0,136.2,136.2,2012.0,19275,2025-09-01 00:00:00,2.0,29.0,826,Bán lẻ FPT,https://frt.vn,253,5379,FRT
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,182,0.0,2025-06-05 00:00:00,2025-06-05 00:00:00,2006.0,18,,3.0,16.0,-0.54,Đóng tàu thủy sản VN,https://dongtauthuysan.vn,188,2753,FSO
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,949,15.0,2025-01-07 00:00:00,2025-01-07 00:00:00,2008.0,1124,,-8.0,-5.0,247,Phụ tùng máy số 1,http://www.futu1.com.vn,189,2757,FT1
UPCOM,Ô tô và phụ tùng,CT,100,0.0,2025-09-03 00:00:00,2025-09-03 00:00:00,2005.0,15,,3.0,16.0,-76,Công nghiệp - Thương mại Hữu Nghị,http://www.ftic.vn,212,3355,FTI
UPCOM,Hàng cá nhân & Gia dụng,CT,7784,6.0,50.0,50.0,2006.0,392,,3.0,296.0,66,Phát triển Đức Quân,https://fortex.com.vn,226,3763,FTM
HOSE,Dịch vụ tài chính,CK,10148,0.3,305.9,305.9,2007.0,473,2.0,19.0,-38.0,281,Chứng khoán FPT,http://www.fpts.com.vn,300,8777,FTS
UPCOM,Hàng cá nhân & Gia dụng,CT,110,1.0,2025-04-14 00:00:00,2025-04-14 00:00:00,2010.0,1,,3.0,14.0,-362,Đầu tư Dệt may Vĩnh Phúc,http://www.ghome.vn,226,3763,G20
UPCOM,Xây dựng và Vật liệu,CT,9167,0.0,103.7,103.7,2006.0,420,2025-02-02 00:00:00,43.0,21.0,-236,Tổng Công ty 36,http://36corp.com,181,2357,G36
UPCOM,Xây dựng và Vật liệu,CT,188,3.0,2025-09-14 00:00:00,2025-09-14 00:00:00,2016.0,83,2025-02-02 00:00:00,3.0,16.0,-76,ĐT Khai khoáng và QL Tài sản FLC,https://flcgab.vn,180,2353,GAB
HOSE,"Điện, nước & xăng dầu khí đốt",CT,6390,17.0,2342-07-01 00:00:00,2342-07-01 00:00:00,1990.0,2953,2025-05-02 00:00:00,1.0,-6.0,-105,PV Gas,https://www.pvgas.com.vn,275,7573,GAS
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,220,0.0,4.0,4.0,2001.0,90,,3.0,16.0,-76,PETEC Bình Định,https://petecbidico.com.vn,275,7573,GCB
UPCOM,Thực phẩm và đồ uống,CT,213,0.0,2025-07-30 00:00:00,2025-07-30 00:00:00,2011.0,541,2025-09-02 00:00:00,26.0,39.0,583,Thực phẩm G.C,https://gcfood.com.vn,218,3577,GCF
UPCOM,Tài nguyên Cơ bản,CT,269,189.0,114.7,114.7,1998.0,1464,2025-03-02 00:00:00,5.0,-24.0,17,Tôn Đông Á,http://www.tondonga.com.vn,159,1757,GDA
HOSE,Hàng cá nhân & Gia dụng,CT,2468,103.0,2025-06-23 00:00:00,2025-09-23 00:00:00,2000.0,768,2025-02-02 00:00:00,14.0,1.0,181,Gỗ Đức Thành,https://goducthanh.com,221,3726,GDT
HNX,"Điện, nước & xăng dầu khí đốt",CT,297,66.0,2025-05-09 00:00:00,2025-05-09 00:00:00,1991.0,311,2025-04-02 00:00:00,49.0,0.15,65,Cấp nước Gia Định,https://www.capnuocgiadinh.vn,277,7577,GDW
HOSE,Hàng & Dịch vụ Công nghiệp,CT,821,0.0,300.0,300.0,2016.0,2116,2025-06-02 00:00:00,49.0,128.0,85,Thiết bị điện GELEX,https://gelex-electric.com,187,2737,GEE
HOSE,"Điện, nước & xăng dầu khí đốt",CT,13111,455.0,358.3,358.3,2010.0,526,2025-03-02 00:00:00,-6.0,57.0,-137,Điện Gia Lai,https://geccom.vn,274,7535,GEG
UPCOM,Hóa chất,CT,129,0.0,2025-02-02 00:00:00,2025-02-02 00:00:00,2006.0,134,,3.0,-364.0,-144,Thể thao Ngôi sao Geru,http://www.gerusport.com.vn,150,1353,GER
HOSE,Hàng & Dịch vụ Công nghiệp,CT,3914,58.0,859.4,859.4,2012.0,8752,2025-03-02 00:00:00,32.0,48.0,-167,Tập đoàn Gelex,https://gelex.vn,187,2737,GEX
UPCOM,Ô tô và phụ tùng,CT,0,21.0,2025-04-29 00:00:00,2025-04-29 00:00:00,2001.0,24,,-147.0,-211.0,-182,Ôtô Giải Phóng,https://giaiphong.com.vn,211,3353,GGG
UPCOM,Xây dựng và Vật liệu,CT,528,0.0,2025-05-11 00:00:00,2025-05-11 00:00:00,2005.0,416,,3.0,16.0,276,Công trình giao thông Hà Nội,http://giaothonghanoi.com.vn,181,2357,GH3
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,4346,41.0,47.7,47.7,2002.0,74,2025-08-02 00:00:00,-4.0,24.0,56,Thủy điện Gia Lai,https://ghc.vn,274,7535,GHC
HNX,Hàng & Dịch vụ Công nghiệp,CT,0,0.11,2025-01-12 00:00:00,2025-01-12 00:00:00,2017.0,145,,3.0,62.0,123,ĐT Dịch vụ và PT Xanh,https://greenicd.com.vn,193,2777,GIC
HOSE,Hàng cá nhân & Gia dụng,CT,0,17.0,101.6,101.6,2000.0,927,2025-02-02 00:00:00,-0.03,-173.0,-44,XNK Bình Thạnh,https://www.gilimex.com,226,3763,GIL
HNX,Xây dựng và Vật liệu,CT,328,0.0,31.4,31.4,2010.0,3,2025-04-02 00:00:00,-84.0,-0.26,-952,Khang Minh Group,https://khangminhgroup.com,180,2353,GKM
UPCOM,Tài nguyên Cơ bản,CT,106,0.0,2025-05-10 00:00:00,2025-05-10 00:00:00,2007.0,19,,3.0,16.0,-76,Vàng Lào Cai,https://vanglaocai.com.vn,167,1777,GLC
HNX,Hàng cá nhân & Gia dụng,CT,266,16.0,2025-03-09 00:00:00,2025-05-10 00:00:00,1996.0,72,,-9.0,98.0,295,KT Điện Toàn Cầu,https://toancau.vn,223,3743,GLT
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,146,0.0,18.0,18.0,2017.0,109,,3.0,0.14,161,Cấp thoát nước Gia Lai,https://capthoatnuocgialai.com,277,7577,GLW
HNX,Ô tô và phụ tùng,CT,140,0.0,20.0,20.0,2011.0,584,2.0,3.0,223.0,249,G-Automobile,https://g-automobile.vn,211,3353,GMA
HOSE,Hàng cá nhân & Gia dụng,CT,0,52.0,33.0,33.0,2003.0,33,2025-08-02 00:00:00,-55.0,-313.0,-463,Garmex Sài Gòn,https://www.garmex.vn,226,3763,GMC
HOSE,Hàng & Dịch vụ Công nghiệp,CT,9675,456.0,414.0,414.0,1993.0,1491,2025-05-02 00:00:00,-33.0,-55.0,-0.01,Gemadept,http://www.gemadept.com.vn,193,2777,GMD
HOSE,Xây dựng và Vật liệu,CT,492,7.0,2025-05-16 00:00:00,2025-05-16 00:00:00,2006.0,405,,9.0,-4.0,-183,Minh Hưng Quảng Trị,http://minhhungqt.vn,180,2353,GMH
HNX,Xây dựng và Vật liệu,CT,612,63.0,9.0,9.0,2003.0,356,,42.0,32.0,11,Gạch ngói Mỹ Xuân,http://www.myxuan-vt.com.vn,180,2353,GMX
UPCOM,Xây dựng và Vật liệu,CT,274,3.0,9.0,9.0,2006.0,469,2025-02-03 00:00:00,-113.0,-183.0,-49,Gạch ngói Đồng Nai,https://www.tuildonai.com.vn,180,2353,GND
UPCOM,Y tế,CT,484,0.0,54.1,54.1,2016.0,33,,-32.0,53.0,-156,Tập đoàn Green+,https://greenplus.group,238,4577,GPC
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,0,0.0,2025-06-28 00:00:00,2025-06-28 00:00:00,2003.0,50,2025-09-02 00:00:00,102.0,97.0,506,Thủy điện Hương Sơn,https://thuydienhuongson.vn,274,7535,GSM
HOSE,Hàng & Dịch vụ Công nghiệp,CT,350,7.0,61.4,61.4,2007.0,254,2025-09-02 00:00:00,35.0,91.0,251,Vận tải Sản phẩm Khí Quốc tế,http://www.gasshipping.com.vn,191,2773,GSP
HOSE,Tài nguyên Cơ bản,CT,1546,1.0,2025-08-09 00:00:00,2025-04-10 00:00:00,2001.0,522,2025-01-02 00:00:00,-2.0,1.0,-316,Gỗ Thuận An,http://gothuanan.vn,155,1733,GTA
UPCOM,Hàng cá nhân & Gia dụng,CT,144,0.0,2025-03-09 00:00:00,2025-03-09 00:00:00,2005.0,380,2025-05-01 00:00:00,3.0,202.0,0.34,Giầy Thượng Đình,http://www.thuongdinhfootwear.com.vn,227,3765,GTD
UPCOM,Xây dựng và Vật liệu,CT,638,0.0,2025-05-28 00:00:00,2025-05-28 00:00:00,2010.0,503,2025-06-02 00:00:00,3.0,35.0,0.07,Công trình Giao thông Sài Gòn,http://www.giaothongsaigon.com.vn,181,2357,GTS
UPCOM,Du lịch và Giải trí,CT,1849,1.0,43.5,43.5,1985.0,5,,3.0,16.0,-76,Thuận Thảo Group,http://www.thuanthao.com.vn,260,5755,GTT
HOSE,Hóa chất,CT,22532,3.0,4000.0,4000.0,2010.0,223,2025-04-02 00:00:00,-3.0,-78.0,321,Tập đoàn CN Cao su VN,https://vnrubbergroup.com,150,1353,GVR
UPCOM,Tài nguyên Cơ bản,CT,239,0.0,2025-06-11 00:00:00,2025-06-11 00:00:00,2008.0,444,2025-07-02 00:00:00,3.0,67.0,87,Giấy Việt Trì,http://giayviettri.com,156,1737,GVT
UPCOM,Xây dựng và Vật liệu,CT,232,2.0,2025-01-01 00:00:00,2025-01-01 00:00:00,2007.0,23,,3.0,34.0,-218,Xây dựng HUD101,http://www.hud101.vn,181,2357,H11
UPCOM,Dịch vụ tài chính,CK,8048,6.0,29.2,29.2,2015.0,46,2025-01-02 00:00:00,76.0,0.12,113,Chứng khoán Hải Phòng,https://haseco.vn,300,8777,HAC
HNX,Thực phẩm và đồ uống,CT,410,114.0,4.0,4.0,2003.0,146,,-22.0,0.01,-26,Bia Hà Nội - Hải Dương,http://habecohd.com.vn,214,3533,HAD
UPCOM,Thực phẩm và đồ uống,CT,184,0.0,2025-05-14 00:00:00,2025-05-14 00:00:00,2005.0,58,2025-07-02 00:00:00,3.0,0.07,-401,Thực phẩm Hà Nội,http://thucphamhanoi.com.vn,218,3577,HAF
HOSE,Thực phẩm và đồ uống,CT,37842,23.0,1057.4,1057.5,2006.0,1748,2.0,-14.0,-36.0,-193,Hoàng Anh Gia Lai,http://www.hagl.com.vn,217,3573,HAG
HOSE,Hàng & Dịch vụ Công nghiệp,CT,13980,0.14,121.3,121.3,2009.0,641,2025-03-03 00:00:00,39.0,54.0,0.46,Vận tải và Xếp dỡ Hải An,https://haiants.vn,193,2777,HAH
UPCOM,Hóa chất,CT,19709,12.0,182.7,182.7,2005.0,140,2025-02-02 00:00:00,3.0,16.0,-76,Nông Dược HAI,http://www.congtyhai.com,151,1357,HAI
UPCOM,Xây dựng và Vật liệu,CT,242,0.0,2025-06-09 00:00:00,2025-03-09 00:00:00,2003.0,199,,3.0,227.0,317,Vật tư Hậu Giang,http://hamaco.vn,180,2353,HAM
UPCOM,Xây dựng và Vật liệu,CT,388,0.0,141.0,141.0,1996.0,486,2025-01-02 00:00:00,15.0,24.0,-101,Xây dựng Hà Nội,https://www.hancorp.vn,181,2357,HAN
HOSE,Tài nguyên Cơ bản,CT,9089,22.0,110.9,111.1,1999.0,680,2025-05-02 00:00:00,-0.17,16.0,-149,Tập đoàn Hapaco,https://hapaco.vn,156,1737,HAP
HOSE,Bất động sản,CT,9423,26.0,95.7,101.4,2007.0,7,2025-05-02 00:00:00,-6.0,-22.0,-0.32,BĐS An Dương Thảo Điền,http://www.adtdgroup.com,336,8633,HAR
HOSE,Xây dựng và Vật liệu,CT,1392,154.0,2025-08-07 00:00:00,8.0,2001.0,139,2025-06-02 00:00:00,-22.0,29.0,11,Hacisco,https://www.has.vn,181,2357,HAS
HNX,Thực phẩm và đồ uống,CT,404,51.0,2025-01-03 00:00:00,2025-01-03 00:00:00,2006.0,87,,-0.01,-55.0,12,TM Bia Hà Nội,http://www.biahoihanoi.com.vn,214,3533,HAT
UPCOM,Thực phẩm và đồ uống,CT,350,0.0,2025-03-03 00:00:00,2025-03-03 00:00:00,2007.0,5,,-101.0,19.0,-126,Rượu Hapro,http://www.haprovodka.vn,215,3535,HAV
HOSE,Ô tô và phụ tùng,CT,6546,238.0,107.4,107.4,2000.0,1151,2025-04-02 00:00:00,-3.0,41.0,302,Ô tô Hàng Xanh,http://www.haxaco.com.vn,211,3353,HAX
UPCOM,Xây dựng và Vật liệu,CT,38183,105.0,347.2,347.2,2000.0,2163,2025-04-02 00:00:00,-26.0,364.0,-0.23,Tập đoàn Xây dựng Hòa Bình,https://hbcg.vn,181,2357,HBC
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,243,5.0,2025-09-01 00:00:00,2.0,2002.0,12,2025-08-02 00:00:00,3.0,16.0,-285,Bao bì PP Bình Dương,http://www.haipacbd.com,184,2723,HBD
UPCOM,Thực phẩm và đồ uống,CT,237,17.0,16.0,16.0,2007.0,75,,159.0,276.0,-163,HABECO Hải Phòng,https://habecohaiphong.com.vn,214,3533,HBH
HNX,Dịch vụ tài chính,CK,0,7.0,33.0,33.0,2008.0,20,2025-04-02 00:00:00,0.1,62.0,-43,Chứng khoán Hòa Bình,http://www.hbse.com.vn,300,8777,HBS
UPCOM,Xây dựng và Vật liệu,CT,217,0.0,8.0,8.0,2005.0,184,,-174.0,-196.0,357,Xây dựng số 1 Hà Nội,http://hacc1.com.vn,181,2357,HC1
UPCOM,Xây dựng và Vật liệu,CT,222,2.0,2025-07-20 00:00:00,2025-07-20 00:00:00,2002.0,113,2025-06-02 00:00:00,3.0,72.0,41,Xây dựng số 3 Hải Phòng,http://haco3.com.vn,181,2357,HC3
UPCOM,Hàng cá nhân & Gia dụng,CT,381,0.0,2025-02-05 00:00:00,2025-02-05 00:00:00,2007.0,3012,,3.0,16.0,29,Dệt may 29/3,http://www.hachiba.com.vn,226,3763,HCB
HNX,Xây dựng và Vật liệu,CT,655,131.0,2025-05-06 00:00:00,2025-05-06 00:00:00,2001.0,170,,18.0,82.0,276,Bê tông Hòa Cầm,http://www.betonghoacam.com.vn,180,2353,HCC
HOSE,Hóa chất,CT,1050,2.0,37.0,37.0,2011.0,19,,-19.0,-24.0,0.09,SX và Thương mại HCD,http://www.hcdgroup.com.vn,150,1353,HCD
UPCOM,Xây dựng và Vật liệu,CT,0,0.0,2025-02-05 00:00:00,2025-02-05 00:00:00,2006.0,62,,3.0,16.0,334,Đầu tư - XD Hà Nội,http://www.hancic.com.vn,181,2357,HCI
HOSE,Dịch vụ tài chính,CK,31042,442.0,720.0,720.8,2003.0,666,2025-01-02 00:00:00,12.0,-23.0,0.14,Chứng khoán HSC,https://www.hsc.com.vn,300,8777,HCM
HNX,Hàng & Dịch vụ Công nghiệp,CT,0,4.0,2.0,2.0,2004.0,77,,3.0,283.0,295,TM - DV - Vận tải Xi măng Hải Phòng,https://vtxmhp.com,194,2779,HCT
UPCOM,Bất động sản,CT,387,1.0,9.0,9.0,2004.0,49,,-103.0,-85.0,-0.5,Đầu tư phát triển nhà HUD 2,http://www.hud2.com.vn,336,8633,HD2
UPCOM,Bất động sản,CT,1463,0.0,2025-01-15 00:00:00,2025-01-15 00:00:00,2005.0,40,,-22.0,-76.0,-484,Phát triển nhà số 6 Hà Nội,http://www.handico6.com.vn,336,8633,HD6
UPCOM,Bất động sản,CT,308,0.0,10.0,10.0,2007.0,11,,8.0,-82.0,-13,PT Nhà và Đô thị HUD8,http://hud8.vn,336,8633,HD8
HNX,Xây dựng và Vật liệu,CT,847,3.0,2025-06-27 00:00:00,2025-06-27 00:00:00,2006.0,178,2025-04-02 00:00:00,3.0,16.0,-285,Hãng sơn Đông Á,https://hangsondonga.com.vn,180,2353,HDA
HOSE,Ngân hàng,NH,18427,172.0,3495-01-01 00:00:00,3510-01-01 00:00:00,1992.0,17772,2025-08-02 00:00:00,-26.0,-68.0,215,HDBank,https://hdbank.com.vn,289,8355,HDB
HOSE,Bất động sản,CT,0,27.0,178.4,178.4,2001.0,238,2025-09-01 00:00:00,-24.0,-74.0,-109,Phát triển Nhà BR-VT,http://www.hodeco.vn,336,8633,HDC
HOSE,Bất động sản,CT,12759,199.0,336.3,336.3,2005.0,746,2025-03-02 00:00:00,-15.0,-0.09,157,Tập đoàn Hà Đô,https://hado.com.vn,336,8633,HDG
UPCOM,Hàng cá nhân & Gia dụng,CT,1078,1.0,2025-01-20 00:00:00,2025-01-20 00:00:00,2005.0,4196,2025-09-02 00:00:00,-6.0,-12.0,0.29,Dệt May Huế,http://www.huegatex.com.vn,226,3763,HDM
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,685,4.0,2025-08-16 00:00:00,17.0,2000.0,2,,3.0,16.0,-76,Hưng Đạo Container,http://www.hungdaocontainer.com.vn,184,2723,HDO
UPCOM,Y tế,CT,498,2.0,2025-09-09 00:00:00,2025-09-09 00:00:00,2004.0,574,,62.0,98.0,0.4,Dược Hà Tĩnh,https://hadiphar.vn,238,4577,HDP
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,934,0.0,31.9,31.9,1998.0,936,2025-02-03 00:00:00,71.0,101.0,121,Nước sạch Hải Dương,http://hdwaco.com.vn,277,7577,HDW
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,163,0.0,6.0,6.0,2004.0,230,2025-09-02 00:00:00,3.0,35.0,137,Tư vấn XD Thủy Lợi II (HEC II),http://hec2.vn,195,2791,HEC
UPCOM,Xây dựng và Vật liệu,CT,0,0.0,2025-04-04 00:00:00,2025-04-04 00:00:00,2008.0,126,,-19.0,-195.0,-0.28,Tư vấn Xây dựng Thủy Lợi VN,https://www.hec.com.vn,181,2357,HEJ
OTC,Hàng & Dịch vụ Công nghiệp,CT,423,0.0,38.7,38.7,2009.0,256,2025-03-02 00:00:00,,,,Chế tạo điện cơ Hà Nội,https://hem.vn,187,2737,HEM
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,429,7.0,6.0,6.0,2005.0,560,,3.0,16.0,262,Môi trường và Công trình đô thị Huế,http://www.hepco.com.vn,199,2799,HEP
UPCOM,Du lịch và Giải trí,CT,408,0.0,2025-03-09 00:00:00,2025-03-09 00:00:00,1999.0,171,,-129.0,-0.54,116,Dịch vụ Giải trí Hà Nội,https://congvienhotay.vn,260,5755,HES
HNX,Truyền thông,CT,129,23.0,1.0,1.0,2004.0,17,,3.0,16.0,-346,Sách Đại học - Dạy nghề,https://hevobooks.com,256,5557,HEV
UPCOM,Xây dựng và Vật liệu,CT,278,0.0,2025-01-09 00:00:00,2025-01-09 00:00:00,2010.0,295,,3.0,39.0,-243,Công trình Cầu phà TP HCM,http://caupha.com,181,2357,HFB
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,193,0.0,2025-02-10 00:00:00,2025-02-10 00:00:00,2006.0,203,,0.06,61.0,-272,Xăng dầu HFC,http://www.hanoifuel.com.vn,275,7573,HFC
UPCOM,Bán lẻ,CT,107,0.0,2025-03-01 00:00:00,2025-03-01 00:00:00,2005.0,13,,3.0,16.0,2007,XNK Thanh Hà,http://haforexim.com.vn,250,5373,HFX
HNX,Tài nguyên Cơ bản,CT,185,2.0,2025-06-12 00:00:00,2025-06-12 00:00:00,2006.0,142,2025-06-02 00:00:00,-36.0,136.0,2025-05-05 00:00:00,Khoáng sản Hà Giang,https://hgm.vn,166,1775,HGM
UPCOM,Du lịch và Giải trí,CT,203,0.49,20.0,20.0,2007.0,133,,-0.14,-102.0,8,Du lịch Hương Giang,https://www.huonggiangtourist.com,262,5759,HGT
OTC,"Điện, nước & xăng dầu khí đốt",CT,219,0.0,2025-09-24 00:00:00,2025-09-24 00:00:00,2004.0,616,2025-05-02 00:00:00,,,,Công trình đô thị Hậu Giang,http://www.capnuochaugiang.vn,277,7577,HGW
HNX,Thực phẩm và đồ uống,CT,416,2.0,2025-04-16 00:00:00,2025-04-16 00:00:00,2007.0,954,2025-09-01 00:00:00,3.0,-144.0,-31,Bánh kẹo Hải Hà,http://www.haihaco.com.vn,218,3577,HHC
UPCOM,Du lịch và Giải trí,CT,246,2.0,34.9,34.9,2001.0,231,,-177.0,31.0,-318,Vận tải Hoàng Hà,http://www.hoanghaco.com.vn,262,5759,HHG
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,146,0.0,2025-04-01 00:00:00,2025-04-01 00:00:00,2000.0,77,,3.0,16.0,-76,Vận tải và DV Hàng hóa Hà Nội,http://www.vantaihanoi.com.vn,193,2777,HHN
HOSE,Tài nguyên Cơ bản,CT,2724,68.0,86.6,86.6,2012.0,227,2025-07-01 00:00:00,-5.0,-47.0,-231,HHP Global,https://www.hhppaper.com,156,1737,HHP
OTC,Hàng & Dịch vụ Công nghiệp,CT,376,0.0,2025-04-01 00:00:00,2025-04-01 00:00:00,2010.0,891,,,,,Đường sắt Hà Hải,http://www.duongsathahai.vn,192,2775,HHR
HOSE,Ô tô và phụ tùng,CT,14840,43.0,368.0,368.0,2008.0,56,2025-03-02 00:00:00,-1.0,-43.0,-46,Đầu tư DV Hoàng Huy,http://www.hoanghuyhhs.vn,211,3353,HHS
HOSE,Xây dựng và Vật liệu,CT,46149,0.09,432.3,432.3,2010.0,515,2025-05-02 00:00:00,108.0,151.0,-212,Đầu tư Hạ tầng Giao thông Đèo Cả,https://hhv.com.vn,181,2357,HHV
HOSE,Xây dựng và Vật liệu,CT,6077,4.0,76.8,76.8,2007.0,37,,3.0,5.0,-205,Halcom Vietnam,http://www.halcom.vn,181,2357,HID
UPCOM,Công nghệ Thông tin,CT,741,2.0,2025-06-22 00:00:00,2025-06-22 00:00:00,1994.0,121,,-25.0,131.0,217,Tập đoàn HIPT,https://hipt.vn,310,9537,HIG
HOSE,Hóa chất,CT,974,8.0,73.7,73.7,2009.0,467,2025-02-02 00:00:00,-9.0,-11.0,-0.26,An Tiến Industries,https://antienindustries.com,150,1353,HII
UPCOM,Hàng cá nhân & Gia dụng,CT,462,0.0,2025-09-12 00:00:00,2025-09-12 00:00:00,2012.0,260,,3.0,16.0,-45,Công ty Cổ phần Hoà Việt,http://www.hoavietjsc.com,229,3785,HJC
HNX,"Điện, nước & xăng dầu khí đốt",CT,381,3.0,21.0,21.0,2003.0,120,2025-06-02 00:00:00,-39.0,-14.0,-42,Thủy điện Nậm Mu,https://thuydiennammu.com.vn,274,7535,HJS
UPCOM,Thực phẩm và đồ uống,CT,1289,15.0,51.6,51.6,2009.0,14,,3.0,16.0,-219,Thực phẩm Hà Nội - Kinh Bắc,http://hkb.com.vn,218,3577,HKB
HNX,Thực phẩm và đồ uống,CT,375,3.0,2025-01-06 00:00:00,2025-01-06 00:00:00,2007.0,8,,3.0,129.0,704,Đầu tư QP Xanh,https://www.qpxanh.com.vn,216,3537,HKT
UPCOM,Tài nguyên Cơ bản,CT,235,1.0,34.4,34.5,2001.0,1,,3.0,16.0,-76,Hữu Liên Á Châu,http://www.huulienasia.com.vn,159,1757,HLA
UPCOM,Thực phẩm và đồ uống,CT,184,307.0,2025-01-03 00:00:00,2025-01-03 00:00:00,2003.0,672,2025-04-02 00:00:00,3.0,16.0,-174,Bia và NGK Hạ Long,https://biahalong.com,214,3533,HLB
HNX,Tài nguyên Cơ bản,CT,4001,97.0,2025-04-25 00:00:00,2025-04-25 00:00:00,2006.0,3264,2025-05-02 00:00:00,61.0,-29.0,-6,Than Hà Lầm,https://halamcoal.com.vn,160,1771,HLC
HNX,Bất động sản,CT,130,42.0,31.6,20.0,2007.0,45,2025-09-01 00:00:00,3.0,-47.0,-52,Bất động sản HUDLAND,http://www.hudland.com.vn,336,8633,HLD
